# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_dsLibs/input/FUM002.A0101.SG1.1_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	64	6
+	37	29
+	79	2
+	55	10
+	52	12
+	51	15
+	39	17
+	85	2
+	53	11
+	34	28
+	62	5
+	32	23
+	60	7
+	63	3
+	82	1
+	45	18
+	36	20
+	48	18
+	40	19
+	33	34
+	83	1
+	71	6
+	50	15
+	57	9
+	35	30
+	47	14
+	31	24
+	49	15
+	41	27
+	43	16
+	58	10
+	72	6
+	38	22
+	30	12
+	44	23
+	95	3
+	61	6
+	129	1
+	56	10
+	46	12
+	67	4
+	76	5
+	94	2
+	87	1
+	105	1
+	42	18
+	69	3
+	73	3
+	54	6
+	93	2
+	98	2
+	66	2
+	81	1
+	68	4
+	65	7
+	116	1
+	75	3
+	117	1
+	59	3
+	90	1
+	91	2
+	70	2
+	74	2
+	92	2
+	111	1
+	77	1
-	38	22
-	33	19
-	39	18
-	42	22
-	97	4
-	35	22
-	44	27
-	112	1
-	49	8
-	36	23
-	31	18
-	32	22
-	78	3
-	56	11
-	63	6
-	53	13
-	34	15
-	40	15
-	46	14
-	81	3
-	47	14
-	95	1
-	60	5
-	37	20
-	43	31
-	77	4
-	88	2
-	54	12
-	41	17
-	30	17
-	66	4
-	73	5
-	50	15
-	59	5
-	57	9
-	67	4
-	68	3
-	65	4
-	45	21
-	62	2
-	70	6
-	86	1
-	96	1
-	48	17
-	69	3
-	138	1
-	51	12
-	61	9
-	91	3
-	52	9
-	55	7
-	110	1
-	58	11
-	111	2
-	93	2
-	71	4
-	64	4
-	72	2
-	105	1
-	76	4
-	103	1
-	102	2
-	75	1
-	123	1
-	74	1
-	83	2
-	84	2
-	131	1
-	29	1
-	85	2
-	89	1
-	92	1
