"","Position","C.T","G.A"
"1",1,0.957846733417085,0
"2",2,0.935924640002114,0
"3",3,0.910370239397027,0
"4",4,0.885286576030671,0
"5",5,0.86444373917414,0
"6",6,0.849357853160918,0
"7",7,0.839481677376316,0
"8",8,0.833430076898619,0
"9",9,0.829869768682263,0
"10",10,0.827824338328886,0
"11",11,0.826664734866646,0
"12",12,0.826011950770604,0
"13",-12,0.826011950770604,0
"14",-11,0.826664734866646,0
"15",-10,0.827824338328886,0
"16",-9,0.829869768682263,0
"17",-8,0.833430076898619,0
"18",-7,0.839481677376316,0
"19",-6,0.849357853160918,0
"20",-5,0.86444373917414,0
"21",-4,0.885286576030671,0
"22",-3,0.910370239397027,0
"23",-2,0.935924640002114,0
"24",-1,0.957846733417085,0
