"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0996374801111872,0.064719235773737,0.96259665866835,0.450306250134988,0.367959830419616,-736.227941844728
"Std.",0.00259383340291798,0.00377856748747244,0.0320841865136234,0.0208867373471361,0.0131850529912049,1.6459621918119
"Acceptance ratio",0.2236,0.21456,0.17904,0.25188,0.17272,0.68842
"0%",0.0899185012878513,0.0495598867632815,0.778291272458123,0.350658827557064,0.318892437256154,-748.554908343109
"2.5%",0.0946077403566119,0.0573385969703096,0.881074380528997,0.407178373077837,0.342949383496234,-740.221576157836
"5%",0.0953409423384639,0.0584308680720261,0.898031457348414,0.41529829078764,0.346972859557637,-739.338207250605
"7.5%",0.0958955673360812,0.0591926049793966,0.909884440882084,0.419874759893818,0.349216826525549,-738.809819880256
"10%",0.0963170043149678,0.0597954723713897,0.918520407605789,0.423557583897544,0.351161073289638,-738.411194185583
"12.5%",0.096618388675505,0.0603531231644825,0.924383045703058,0.426256841124343,0.352893825242706,-738.12486181562
"15%",0.0969153235584411,0.060772833077702,0.930274336183337,0.428657822105646,0.354265526171684,-737.859577959728
"17.5%",0.0971699932890046,0.0611321775437919,0.934651433703651,0.430965769915756,0.355588770278683,-737.636187969481
"20%",0.0974199313321878,0.06149966629828,0.938656107527106,0.432927492110286,0.35668128835249,-737.4336179277
"22.5%",0.0976354853511007,0.0617826804694512,0.942212916457239,0.435025893743574,0.357723585788284,-737.255648642836
"25%",0.0978506525202487,0.0620956628979126,0.945978327261087,0.436817913482501,0.358785612325603,-737.09088596784
"27.5%",0.0980562075483184,0.0624085048015361,0.948994677197121,0.438529306110685,0.359722156813457,-736.943982841209
"30%",0.098239048853315,0.0627188188715272,0.952042559589524,0.440052643341407,0.360749826663751,-736.808115676579
"32.5%",0.0984270425537958,0.0629911944434483,0.954994279435995,0.441465519217761,0.361567474831732,-736.684968565116
"35%",0.098613765480542,0.0632506950940581,0.957606233644245,0.442971875170452,0.362379232256488,-736.562795400467
"37.5%",0.0987891241733193,0.0635099826815837,0.959967948904683,0.44440448342462,0.363358089396602,-736.4383756036
"40%",0.0989597413467056,0.0637953104925444,0.962094013411648,0.445689108066311,0.364115593525352,-736.323232194908
"42.5%",0.0991432353181947,0.0640516949705635,0.9646344168282,0.446878262923872,0.365171954641375,-736.216816523386
"45%",0.0993325378606267,0.064321877841676,0.966767159113488,0.448182913008737,0.366072310387146,-736.116605144432
"47.5%",0.0994947233184753,0.0645299287092103,0.968875630760937,0.449568614501439,0.366898753165592,-736.016396208672
"50%",0.0996572601503134,0.0648121761010792,0.970746598048061,0.450820612283046,0.367752138910632,-735.916814884129
"52.5%",0.099816976875928,0.0650265374623923,0.972338577166177,0.452200440319167,0.368617930331722,-735.822184049155
"55%",0.099945789266871,0.0652702210285955,0.97419595115996,0.453471144063634,0.369361469922509,-735.729991896088
"57.5%",0.100139463132739,0.0655072314631739,0.976293814184358,0.454771772002547,0.370243322443053,-735.640653782368
"60%",0.100331445952863,0.0657452197207854,0.978236284891357,0.456034480507304,0.371044419785336,-735.550926891224
"62.5%",0.100472283077839,0.0659686840641028,0.979609642608045,0.457326301698392,0.371892946348048,-735.467542132709
"65%",0.100665495108268,0.0661958917287803,0.981612305281583,0.45865254373478,0.372820362616223,-735.385100736769
"67.5%",0.100846643680345,0.0664340275799573,0.983514669049131,0.459902817731663,0.373726079304348,-735.296229305366
"70%",0.101011303829375,0.066661687185465,0.985079392726212,0.461396375111954,0.374610170147141,-735.208000548188
"72.5%",0.101198367099145,0.0669522209449635,0.986307494448821,0.462750766120274,0.375717922499701,-735.120243752386
"75%",0.101393917821822,0.0672703344077464,0.987649681235779,0.464544683854114,0.376600535175079,-735.026491204316
"77.5%",0.101608265793507,0.0675676718686838,0.98910294182107,0.466229478618612,0.377616940328455,-734.934105860036
"80%",0.101814667552897,0.0678601965195057,0.990570797506894,0.467950634526927,0.378994263931928,-734.843030541521
"82.5%",0.102072223389528,0.0682636011814483,0.991787855336833,0.46974695109246,0.380277966420708,-734.744489831873
"85%",0.102295726984438,0.0686537918176275,0.992927606654464,0.471729846817791,0.381688482248926,-734.644724416461
"87.5%",0.102640096008518,0.0690747897382878,0.994258361148224,0.474252616684689,0.383694090421304,-734.532784581407
"90%",0.102967994650712,0.0695786490034942,0.995420773201844,0.476872177696839,0.385493254069263,-734.415579764018
"92.5%",0.103456252947542,0.0701720742087707,0.996721035930086,0.479977512845585,0.387518464188897,-734.291982793734
"95%",0.103945317403916,0.0710080670498731,0.997914718337498,0.483846725123945,0.390155294158812,-734.145939801516
"97.5%",0.104711069553372,0.0721823548703239,0.998987249514205,0.489388610399214,0.394147776707297,-733.96562243009
"100%",0.109704153278422,0.0795544848785209,0.999988705519026,0.525662176639736,0.421473597687255,-733.427729254515
