# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_ssLibs/input/FUM002.A0102.SG1.5_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	32	99
+	35	79
+	46	51
+	57	23
+	50	39
+	49	45
+	36	88
+	31	89
+	41	46
+	64	24
+	37	67
+	33	107
+	40	68
+	44	68
+	90	1
+	56	23
+	65	14
+	59	23
+	74	5
+	67	19
+	34	96
+	38	70
+	42	78
+	43	71
+	45	57
+	52	28
+	39	77
+	68	13
+	72	9
+	66	10
+	70	18
+	55	20
+	69	15
+	47	63
+	30	103
+	60	18
+	73	11
+	48	36
+	53	20
+	91	3
+	51	29
+	76	9
+	54	18
+	62	16
+	89	2
+	82	1
+	61	22
+	114	1
+	117	1
+	87	2
+	99	1
+	58	26
+	63	15
+	75	3
+	116	2
+	71	10
+	92	5
+	79	6
+	101	4
+	80	6
+	77	7
+	97	1
+	78	4
+	86	3
+	84	5
+	93	2
+	83	4
+	88	2
+	98	2
+	28	1
+	100	1
+	29	1
+	96	3
+	137	1
+	125	1
+	131	1
+	81	1
+	106	1
+	85	1
+	109	1
+	108	1
+	105	1
-	34	89
-	48	35
-	56	19
-	47	36
-	53	25
-	45	53
-	50	38
-	39	74
-	41	53
-	140	2
-	35	68
-	46	45
-	57	19
-	59	21
-	68	10
-	44	60
-	76	17
-	40	67
-	49	52
-	51	39
-	118	1
-	38	62
-	37	80
-	30	103
-	52	28
-	43	80
-	33	87
-	55	18
-	87	4
-	58	19
-	69	15
-	36	74
-	80	9
-	74	7
-	70	9
-	32	84
-	31	88
-	54	16
-	60	19
-	42	62
-	61	5
-	62	11
-	65	10
-	79	8
-	75	6
-	103	3
-	66	18
-	29	4
-	84	4
-	63	14
-	73	6
-	64	12
-	88	2
-	98	3
-	77	8
-	71	11
-	106	1
-	123	3
-	89	2
-	102	1
-	137	1
-	72	15
-	82	6
-	141	1
-	67	18
-	83	6
-	86	4
-	95	1
-	85	5
-	99	2
-	90	6
-	92	2
-	101	1
-	108	1
-	126	2
-	116	1
-	91	2
-	111	1
-	81	5
-	94	1
-	97	3
-	78	6
-	131	1
-	130	1
-	93	4
-	110	1
-	112	2
-	117	1
-	128	1
-	129	1
-	124	1
-	96	1
