"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0707506772318266,0.0796502489090535,0.992554651265072,0.341571113181769,0.670537224393142,-442.623111340908
"Std.",0.00144357366828554,0.003140583024536,0.00709149691349162,0.00962118785623232,0.0165868085899903,1.68155134462188
"Acceptance ratio",0.20408,0.28808,0.16016,0.2258,0.17792,0.6939
"0%",0.0650698659304948,0.0666565223183562,0.935805709726971,0.307024601985908,0.607052751094274,-453.877028048549
"2.5%",0.0680095220155872,0.0733799565605405,0.974109406554727,0.32307429950325,0.638826517842062,-446.69039915352
"5%",0.0684365254280093,0.0744994747977088,0.978203249792284,0.326084184452018,0.643459937568889,-445.830141897754
"7.5%",0.068680855684685,0.0751644909063606,0.980719228077653,0.327900651582799,0.646586281379395,-445.292329576096
"10%",0.0688835769734659,0.0756513275807202,0.982862336495924,0.329310257259337,0.649318389127974,-444.897828298194
"12.5%",0.0690608242415202,0.0760625996243784,0.984557276217782,0.33043526961755,0.65145440298158,-444.581706896007
"15%",0.0692314461988372,0.0763867272654852,0.985749027149485,0.331456732957319,0.653332039486182,-444.31227387211
"17.5%",0.0694004858686749,0.07669088615565,0.986787534527052,0.332370431907958,0.655114188324737,-444.079040537215
"20%",0.0695471214975289,0.0769834097840658,0.987962667835808,0.333285333492386,0.65663127891029,-443.871205618479
"22.5%",0.0696687813047126,0.0772886432025709,0.988801741276329,0.334158416700943,0.657893999127627,-443.685168164495
"25%",0.0697754100316638,0.0775345341068449,0.989552181704095,0.334899017413444,0.659232473901084,-443.508477317892
"27.5%",0.0698710267926899,0.0777670488284844,0.990229736777636,0.335552746684164,0.660373368113758,-443.3538678977
"30%",0.069983781713965,0.0780035818385757,0.99083202254589,0.336274599065007,0.661542322916758,-443.222873012926
"32.5%",0.0700808519334898,0.0782303592915198,0.991398252155675,0.337043100432756,0.662856775049652,-443.084363422775
"35%",0.0701861067548636,0.0784382492828184,0.9919345811603,0.337657609504777,0.664072599058913,-442.959455862312
"37.5%",0.0702870647953941,0.0786752496720323,0.992481958466615,0.338337761481361,0.665184861020372,-442.846843322977
"40%",0.0703807880622978,0.0788645695638245,0.993008540205479,0.339014779044438,0.666265209584257,-442.738107998192
"42.5%",0.0704592578658885,0.0790694201596044,0.993474123207917,0.339601791467719,0.667223375154985,-442.632432488912
"45%",0.0705603107220369,0.0792634644812774,0.993862445229844,0.340311740036658,0.668361397776269,-442.526199399915
"47.5%",0.07064860472207,0.0794413561067502,0.994279764147988,0.340982612669653,0.669329498402121,-442.424111500147
"50%",0.0707398176727379,0.0796394832953258,0.994690518919613,0.341605317317487,0.670394610214208,-442.326344681046
"52.5%",0.0708313665870005,0.0798383028768345,0.99504410864719,0.342142824560589,0.671398559588198,-442.235615804755
"55%",0.0709147636214403,0.0800504249359534,0.995405322297247,0.342731547187228,0.672386674660635,-442.139184875603
"57.5%",0.0709953202201326,0.0802432062969049,0.995727053929363,0.34332779063943,0.673441795362275,-442.04308555112
"60%",0.0710917168587165,0.0804566711692885,0.996064151984335,0.343999789561421,0.674654705033021,-441.949841608944
"62.5%",0.071189619632864,0.0806552681481984,0.996382679595374,0.344640471258952,0.675750604414485,-441.857441228492
"65%",0.0712875824381738,0.0808735481867003,0.996641626151789,0.345283584884229,0.676904550231992,-441.758149971691
"67.5%",0.0713963810829136,0.0810835598165865,0.996940179797819,0.345896824703341,0.677904920654749,-441.669245407596
"70%",0.0715030512131328,0.0813267339576372,0.997286084108876,0.346539790836812,0.679008667678832,-441.57892859404
"72.5%",0.0716104907104951,0.0815395989388206,0.997539307957782,0.347229095180453,0.680326128216183,-441.482612858888
"75%",0.0717304821385648,0.0817652901438852,0.997825845546668,0.348087446957026,0.681503156949974,-441.386385400196
"77.5%",0.0718322817081744,0.0820219218315225,0.998028397400512,0.348965531344419,0.682837454323665,-441.28955929686
"80%",0.0719644664428494,0.0823036654648392,0.998227256544131,0.349748635270651,0.684213164732465,-441.187696956629
"82.5%",0.0720944055946818,0.0825903806303448,0.998504125759618,0.35064290698049,0.685951328669781,-441.081552670079
"85%",0.0722493967619889,0.0829117821708069,0.998754710825428,0.351601641952508,0.687769889177951,-440.978462501553
"87.5%",0.0724435012570622,0.083251166606241,0.9989549248135,0.35271305027194,0.689826617342001,-440.87237194747
"90%",0.0726227046401337,0.0837156371690562,0.999176243720759,0.353932897047267,0.69180049674392,-440.756577437621
"92.5%",0.0728389587442541,0.0842019588449263,0.999399185261066,0.355411990518131,0.694351713585524,-440.630962735411
"95%",0.0731710058154523,0.0847946108338046,0.999641507789777,0.357540542514359,0.697811099508,-440.473702963413
"97.5%",0.0736327170416777,0.0857336809021695,0.999817439756643,0.360666575455057,0.70310211206816,-440.274804365811
"100%",0.0768179153344722,0.0930101998400107,0.999999672690402,0.382361253711389,0.738763231777924,-439.735182807178
