# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_dsLibs/input/GDN001.A0101.SG1.1_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	114
+	31	92
+	49	84
+	34	110
+	33	105
+	131	10
+	101	21
+	46	79
+	56	58
+	83	45
+	89	38
+	78	46
+	65	59
+	47	62
+	94	37
+	104	29
+	106	18
+	86	35
+	55	56
+	84	34
+	123	17
+	97	32
+	80	40
+	90	34
+	115	12
+	45	96
+	44	84
+	58	65
+	66	49
+	60	52
+	59	43
+	48	64
+	110	25
+	52	63
+	108	18
+	74	56
+	88	29
+	67	69
+	64	69
+	51	61
+	73	71
+	95	34
+	40	74
+	121	16
+	107	12
+	103	32
+	42	112
+	77	54
+	87	33
+	117	20
+	114	23
+	79	49
+	63	53
+	62	46
+	93	30
+	43	102
+	35	97
+	96	25
+	75	75
+	70	54
+	50	63
+	85	36
+	99	21
+	71	60
+	54	54
+	61	54
+	57	49
+	122	12
+	92	32
+	82	44
+	81	38
+	76	153
+	140	4
+	141	7
+	36	78
+	41	65
+	38	83
+	68	56
+	37	73
+	72	78
+	69	54
+	136	4
+	32	99
+	53	45
+	39	94
+	124	14
+	102	26
+	119	20
+	133	13
+	127	11
+	118	15
+	116	12
+	137	11
+	105	23
+	112	19
+	132	7
+	111	14
+	126	9
+	98	24
+	135	5
+	120	16
+	113	11
+	91	39
+	100	32
+	128	9
+	130	7
+	29	1
+	125	15
+	109	11
+	142	1
+	139	8
+	129	5
+	138	5
+	134	10
-	76	152
-	31	99
-	42	73
-	43	91
-	34	88
-	119	11
-	95	29
-	94	31
-	93	39
-	92	37
-	71	64
-	67	65
-	48	69
-	36	99
-	75	75
-	64	64
-	108	16
-	84	42
-	117	17
-	50	71
-	65	60
-	78	48
-	72	67
-	79	39
-	134	5
-	113	17
-	83	33
-	58	53
-	98	39
-	33	107
-	55	58
-	35	91
-	132	12
-	109	14
-	126	14
-	128	11
-	97	36
-	39	70
-	87	29
-	30	104
-	91	35
-	141	6
-	77	62
-	107	22
-	70	54
-	125	11
-	73	53
-	61	47
-	90	31
-	51	77
-	105	34
-	56	49
-	102	29
-	60	51
-	38	78
-	68	56
-	100	35
-	110	24
-	85	33
-	54	51
-	88	28
-	89	39
-	80	37
-	69	42
-	81	42
-	62	57
-	49	74
-	115	17
-	121	19
-	114	12
-	66	68
-	52	73
-	59	63
-	53	58
-	74	59
-	41	59
-	82	34
-	120	12
-	86	31
-	46	96
-	44	84
-	47	84
-	45	107
-	32	75
-	112	20
-	37	81
-	96	34
-	99	29
-	57	48
-	123	14
-	135	10
-	133	12
-	129	10
-	111	18
-	122	22
-	124	17
-	131	14
-	104	20
-	127	14
-	101	26
-	106	15
-	63	43
-	40	64
-	136	6
-	103	22
-	118	11
-	29	4
-	116	14
-	28	1
-	130	8
-	139	4
-	138	1
-	137	3
-	140	6
