pos	5pC>T
1	0.147540983606557
2	0.0794520547945206
3	0.0609418282548476
4	0.079155672823219
5	0.0626780626780627
6	0.0796703296703297
7	0.0641025641025641
8	0.0523076923076923
9	0.0630372492836676
10	0.0699481865284974
11	0.063013698630137
12	0.0581395348837209
13	0.0335195530726257
14	0.0521472392638037
15	0.0621761658031088
16	0.0564971751412429
17	0.0703812316715543
18	0.0694087403598972
19	0.0515759312320917
20	0.0703812316715543
21	0.0435897435897436
22	0.0623306233062331
23	0.0437710437710438
24	0.0448179271708683
25	0.0457142857142857
