"","Position","C.T","G.A"
"1",1,0.935848653336772,0.848740241570775
"2",2,0.907917845789207,0.829191424277487
"3",3,0.882370513553619,0.810662540811605
"4",4,0.865214264245056,0.790757928716076
"5",5,0.858293143460066,0.765968622739836
"6",6,0.853919944880942,0.749539253233992
"7",7,0.845945321795344,0.753343590865943
"8",8,0.834687550191267,0.768271273654968
"9",9,0.827797691506111,0.775371032589921
"10",10,0.828684382628262,0.770994129221393
"11",11,0.830997477833562,0.765069609912956
"12",12,0.83340698255435,0.759290725616946
"13",-12,0.797057829999925,0.807015262244995
"14",-11,0.784807713460151,0.817190962231259
"15",-10,0.777113245007557,0.823235500929898
"16",-9,0.775888766379283,0.825693678847897
"17",-8,0.778475348297278,0.827053323150811
"18",-7,0.779819716230403,0.830997134320777
"19",-6,0.781649360472728,0.837603237118163
"20",-5,0.790977341446179,0.84483205518394
"21",-4,0.800968129739342,0.858509007875732
"22",-3,0.813772255381659,0.879137480901705
"23",-2,0.830210262594959,0.90569375681073
"24",-1,0.856791415471122,0.932586912670596
