pos	3pG>A
1	0.0615384615384615
2	0.0626368812965396
3	0.039907012785742
4	0.0469565217391304
5	0.0393864013266998
6	0.0476190476190476
7	0.0527871621621622
8	0.0433684210526316
9	0.04575416828228
10	0.0577256944444444
11	0.0457920792079208
12	0.0455271565495208
13	0.0415606446140797
14	0.0424585523655479
15	0.0381709741550696
16	0.0435149978876215
17	0.0421974522292994
18	0.04572940287226
19	0.0505852842809365
20	0.0490771812080537
21	0.0403413498836307
22	0.0413052457662123
23	0.0418869459129728
24	0.048951048951049
25	0.0511101801424382
