# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_ssLibs/input/GOY006.A0102.SG1.5_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	127	2
+	62	70
+	37	362
+	78	33
+	85	21
+	56	110
+	44	280
+	30	410
+	74	37
+	48	214
+	52	152
+	34	407
+	63	63
+	41	245
+	58	95
+	33	399
+	45	271
+	32	443
+	71	56
+	75	33
+	59	89
+	46	247
+	64	72
+	50	173
+	94	7
+	57	110
+	35	380
+	81	24
+	47	225
+	80	25
+	103	2
+	43	285
+	53	150
+	72	29
+	39	268
+	69	56
+	51	153
+	49	227
+	42	319
+	95	11
+	60	76
+	65	72
+	40	244
+	54	128
+	77	27
+	113	1
+	38	339
+	96	8
+	106	5
+	101	4
+	55	125
+	89	9
+	66	54
+	36	338
+	76	42
+	31	414
+	87	24
+	67	62
+	108	4
+	68	51
+	90	13
+	70	55
+	61	63
+	114	5
+	134	2
+	88	13
+	110	4
+	92	9
+	84	13
+	29	3
+	73	32
+	82	18
+	79	20
+	102	6
+	126	2
+	123	3
+	100	12
+	28	1
+	86	10
+	98	8
+	97	4
+	104	3
+	136	1
+	93	6
+	83	10
+	129	2
+	91	9
+	124	2
+	112	2
+	137	2
+	107	5
+	99	6
+	125	1
+	120	3
+	109	2
+	115	1
+	131	1
+	122	2
+	105	1
+	116	1
+	130	1
+	121	1
+	111	1
+	140	1
-	41	319
-	30	405
-	36	353
-	33	410
-	40	264
-	59	88
-	47	226
-	61	92
-	60	91
-	42	321
-	37	365
-	69	48
-	44	304
-	35	379
-	32	431
-	34	406
-	48	207
-	66	56
-	31	432
-	43	307
-	57	110
-	49	185
-	52	145
-	38	343
-	55	124
-	89	12
-	85	15
-	39	276
-	51	177
-	53	144
-	29	9
-	58	94
-	46	223
-	78	20
-	83	15
-	54	129
-	101	2
-	45	292
-	76	44
-	56	96
-	68	71
-	50	181
-	65	68
-	84	15
-	128	2
-	100	12
-	74	28
-	72	34
-	64	81
-	86	11
-	75	29
-	62	64
-	63	65
-	106	5
-	67	57
-	80	26
-	77	18
-	71	41
-	70	29
-	131	1
-	90	11
-	109	6
-	73	33
-	81	21
-	92	7
-	96	12
-	79	19
-	91	8
-	87	15
-	88	16
-	82	24
-	93	6
-	95	9
-	114	4
-	108	6
-	98	4
-	99	10
-	107	3
-	103	5
-	136	1
-	94	11
-	105	4
-	120	2
-	104	4
-	126	1
-	102	5
-	116	4
-	141	2
-	110	2
-	118	2
-	97	4
-	132	1
-	121	1
-	127	1
-	119	2
-	28	2
-	124	2
-	113	2
-	134	1
-	122	1
-	117	1
