# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_dsLibs/input/PES001.B0101.SG1.3_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	56	40
+	68	23
+	44	23
+	85	17
+	92	20
+	69	29
+	59	33
+	124	7
+	72	38
+	113	10
+	70	27
+	136	5
+	111	13
+	67	19
+	99	17
+	75	82
+	78	28
+	50	22
+	76	191
+	54	22
+	112	9
+	87	15
+	80	24
+	74	33
+	110	10
+	49	30
+	81	19
+	88	16
+	90	26
+	43	28
+	46	32
+	34	19
+	55	24
+	79	14
+	40	17
+	66	28
+	48	26
+	73	46
+	58	34
+	64	18
+	52	33
+	121	8
+	77	38
+	51	20
+	95	10
+	37	16
+	84	14
+	62	23
+	131	7
+	57	26
+	94	7
+	53	33
+	127	7
+	104	13
+	102	16
+	65	33
+	93	15
+	125	10
+	114	8
+	119	10
+	107	12
+	61	29
+	106	16
+	47	24
+	100	14
+	35	26
+	63	26
+	39	31
+	103	11
+	42	31
+	41	19
+	32	14
+	38	19
+	33	15
+	71	34
+	130	5
+	134	3
+	105	16
+	120	15
+	89	8
+	141	3
+	60	29
+	118	5
+	36	14
+	45	35
+	82	10
+	83	14
+	96	7
+	117	11
+	101	13
+	91	16
+	139	3
+	98	11
+	116	8
+	97	11
+	133	5
+	86	17
+	109	7
+	137	2
+	115	5
+	138	3
+	123	4
+	108	13
+	122	5
+	129	6
+	126	4
+	128	4
+	30	8
+	132	4
+	140	2
+	31	14
+	135	3
+	142	1
-	77	40
-	67	25
-	105	12
-	70	29
-	98	11
-	102	12
-	94	17
-	112	10
-	56	24
-	57	33
-	42	33
-	141	3
-	92	11
-	74	29
-	79	24
-	76	197
-	90	15
-	101	12
-	51	37
-	83	25
-	132	5
-	100	10
-	138	4
-	68	11
-	47	36
-	84	26
-	95	12
-	137	4
-	73	39
-	119	12
-	52	30
-	41	18
-	46	30
-	86	17
-	64	21
-	54	31
-	36	20
-	72	41
-	50	29
-	45	31
-	61	25
-	65	27
-	75	78
-	81	18
-	123	2
-	59	26
-	63	26
-	109	4
-	55	22
-	87	11
-	131	5
-	82	28
-	110	5
-	96	16
-	121	8
-	122	4
-	66	24
-	142	2
-	89	12
-	115	13
-	35	17
-	88	13
-	111	11
-	134	5
-	53	25
-	104	15
-	71	19
-	62	22
-	117	5
-	125	5
-	58	24
-	93	22
-	124	6
-	48	38
-	120	7
-	40	11
-	44	29
-	80	23
-	69	28
-	135	2
-	33	13
-	49	37
-	99	16
-	37	20
-	43	32
-	60	28
-	114	7
-	78	26
-	116	9
-	85	12
-	39	24
-	133	5
-	32	13
-	34	18
-	38	18
-	127	6
-	30	5
-	97	11
-	128	4
-	107	13
-	136	5
-	129	8
-	113	5
-	140	1
-	118	10
-	103	7
-	106	8
-	91	17
-	130	8
-	126	8
-	31	13
-	108	5
-	139	6
