"","Position","C.T","G.A"
"1",1,0.954008072382771,0
"2",2,0.924170443246633,0
"3",3,0.889440259532066,0
"4",4,0.857919371895195,0
"5",5,0.835117952708125,0
"6",6,0.821176334065547,0
"7",7,0.813506920150916,0
"8",8,0.809530948988573,0
"9",9,0.80753266445703,0
"10",10,0.806543752584948,0
"11",11,0.806057961531734,0
"12",12,0.805820111702977,0
"13",-12,0.805820111702977,0
"14",-11,0.806057961531734,0
"15",-10,0.806543752584948,0
"16",-9,0.80753266445703,0
"17",-8,0.809530948988573,0
"18",-7,0.813506920150916,0
"19",-6,0.821176334065547,0
"20",-5,0.835117952708125,0
"21",-4,0.857919371895195,0
"22",-3,0.889440259532066,0
"23",-2,0.924170443246633,0
"24",-1,0.954008072382771,0
