# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_ssLibs/input/PES001.B0102.SG1.5_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	76	309
+	89	32
+	110	13
+	73	103
+	42	178
+	68	76
+	52	109
+	33	170
+	44	176
+	87	37
+	54	95
+	116	16
+	50	137
+	53	100
+	72	84
+	104	15
+	61	76
+	108	13
+	75	86
+	95	22
+	62	62
+	43	186
+	92	37
+	45	156
+	49	136
+	37	154
+	71	67
+	130	10
+	48	119
+	51	115
+	82	30
+	47	148
+	41	131
+	30	176
+	31	202
+	57	97
+	127	5
+	111	13
+	38	158
+	103	14
+	34	187
+	105	14
+	90	31
+	64	85
+	35	175
+	118	12
+	60	80
+	96	29
+	39	149
+	97	23
+	65	84
+	106	19
+	58	83
+	102	20
+	91	34
+	93	31
+	122	16
+	56	80
+	98	17
+	94	33
+	101	22
+	83	53
+	55	97
+	99	27
+	129	11
+	66	64
+	120	19
+	80	29
+	70	57
+	59	77
+	77	76
+	86	26
+	78	52
+	63	70
+	84	28
+	117	10
+	36	166
+	40	155
+	32	196
+	100	19
+	46	151
+	140	8
+	67	71
+	81	35
+	124	13
+	131	13
+	109	14
+	126	9
+	119	12
+	69	66
+	74	48
+	85	19
+	114	11
+	79	47
+	88	37
+	113	14
+	107	16
+	128	7
+	112	12
+	125	4
+	134	4
+	133	9
+	121	6
+	142	1
+	115	9
+	123	6
+	132	9
+	138	4
+	137	6
+	135	5
+	141	3
+	136	4
+	28	3
+	29	1
+	139	6
-	51	117
-	33	151
-	73	103
-	55	111
-	44	166
-	111	15
-	97	25
-	39	136
-	52	101
-	41	113
-	48	136
-	43	160
-	67	59
-	77	83
-	76	338
-	84	30
-	40	142
-	78	58
-	62	72
-	72	72
-	75	96
-	83	30
-	114	18
-	141	3
-	58	86
-	60	77
-	63	61
-	37	187
-	42	183
-	45	152
-	56	86
-	54	101
-	112	8
-	74	68
-	50	115
-	100	16
-	68	66
-	125	8
-	69	62
-	36	190
-	32	183
-	104	16
-	87	30
-	108	17
-	101	23
-	47	139
-	66	80
-	59	98
-	96	25
-	85	31
-	89	28
-	57	90
-	115	14
-	122	8
-	49	143
-	46	171
-	53	132
-	79	43
-	80	37
-	110	23
-	86	28
-	135	13
-	119	18
-	31	204
-	131	8
-	98	26
-	93	28
-	34	174
-	30	187
-	35	189
-	61	62
-	38	149
-	102	22
-	65	80
-	99	22
-	92	32
-	70	82
-	95	27
-	120	9
-	103	13
-	106	21
-	81	20
-	71	62
-	91	20
-	130	5
-	90	30
-	94	32
-	105	18
-	64	73
-	127	7
-	140	11
-	113	10
-	136	8
-	123	7
-	117	11
-	118	16
-	132	4
-	82	41
-	116	12
-	138	9
-	88	38
-	109	15
-	126	10
-	124	9
-	128	11
-	129	9
-	133	13
-	107	13
-	134	5
-	121	9
-	137	6
-	139	3
-	28	2
-	29	3
