pos	3pG>A
1	0.249632892804699
2	0.166336633663366
3	0.0980392156862745
4	0.077639751552795
5	0.080672268907563
6	0.0488958990536278
7	0.0630769230769231
8	0.0750382848392037
9	0.0502354788069074
10	0.0426829268292683
11	0.035031847133758
12	0.0342771982116244
13	0.0522388059701493
14	0.0490998363338789
15	0.0316957210776545
16	0.043859649122807
17	0.0551301684532925
18	0.0606980273141123
19	0.0574712643678161
20	0.041335453100159
21	0.0422322775263952
22	0.0507692307692308
23	0.0226904376012966
24	0.0310650887573964
25	0.0363636363636364
