"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0763800160660931,0.0756902532502765,0.872384257693437,0.479626872530826,0.477493552894729,-370.897767561966
"Std.",0.00234245877631905,0.00397421988723196,0.0777219646046722,0.0394178690185852,0.0188321858559505,1.51589896977559
"Acceptance ratio",0.18566,0.21946,0.16734,0.16498,0.22384,0.65426
"0%",0.0665037775210625,0.0570177189232862,0.5516255284257,0.324226531896103,0.411003047494582,-383.290092647214
"2.5%",0.0718967554338012,0.0677049663280579,0.70879130135664,0.395599112580615,0.441262352103936,-374.629342203999
"5%",0.0725596696797643,0.0691959150645457,0.734388820959435,0.41030320165761,0.44701602286957,-373.772516789979
"7.5%",0.0730107533637361,0.0699077924961925,0.75096984937101,0.419430925353654,0.450799455569282,-373.300696651719
"10%",0.0733833942239589,0.0705741586328129,0.765201904620329,0.427296010960679,0.453727723111497,-372.922797560788
"12.5%",0.0737191636387898,0.0710863274666846,0.777042823562802,0.433432276160018,0.4562067444825,-372.65029176395
"15%",0.0739521809264458,0.0716044402907843,0.786629150469936,0.438637493328068,0.458265409766097,-372.393344134091
"17.5%",0.0741640936468895,0.0720294909440972,0.795199661239682,0.443120114957206,0.460187658020342,-372.183995637147
"20%",0.0743854226027436,0.0723831080835262,0.803572130134839,0.4473792217393,0.46170196901085,-371.999127235427
"22.5%",0.0746071006091401,0.0727524234569971,0.81236544737597,0.451388126490458,0.463167504051476,-371.838676393689
"25%",0.0747839977547695,0.073063590646247,0.819716064369178,0.454533013459159,0.464693670863123,-371.687469588528
"27.5%",0.0749490484802497,0.0733535142272912,0.825965057060735,0.457254224666294,0.466018951756038,-371.542714951137
"30%",0.0751258796358721,0.0736994228117724,0.832371459496224,0.460200713539118,0.467255034329696,-371.410822126108
"32.5%",0.075273206718434,0.0739919170618993,0.838532940492486,0.462927474855096,0.468637168330056,-371.292774314848
"35%",0.0754597898493273,0.0742484607006784,0.844213886661768,0.466226625559951,0.469885430635971,-371.175732320617
"37.5%",0.0756311309527818,0.0745038575166199,0.849296586641124,0.469197047743831,0.470901521417912,-371.065982646736
"40%",0.0757595507469516,0.0747849221829885,0.854118337287487,0.471661336399708,0.472256816380164,-370.960782879762
"42.5%",0.075925505894636,0.0750291496630799,0.859462051950479,0.47423703616275,0.473436143502802,-370.862513676848
"45%",0.0760662401933307,0.0753035112245675,0.864766350569294,0.476927852353564,0.474563500464268,-370.766843438143
"47.5%",0.076210098369664,0.075534914317378,0.870953494476659,0.480048759093801,0.475897140437488,-370.670067340383
"50%",0.0763527250245947,0.0757784868028464,0.876838518457403,0.482621323100238,0.476892623535015,-370.582089323092
"52.5%",0.0765337493520416,0.075991844676026,0.883270266271281,0.485062520909962,0.477964832579741,-370.493286368916
"55%",0.0766768368502812,0.0762756397361363,0.889545551392437,0.487685356688108,0.479219258946859,-370.40417579387
"57.5%",0.076832321088771,0.0764961185197752,0.895079379272003,0.490484577464043,0.480573451909588,-370.321954055842
"60%",0.0769796064077017,0.0767556652479012,0.900578036778335,0.492719177739517,0.481844666291741,-370.239610110242
"62.5%",0.0771173495990995,0.0770323226862745,0.906391144294589,0.495322235350823,0.482975045460455,-370.160445649754
"65%",0.077273373122478,0.077272437024625,0.911486564713953,0.497892625721401,0.484358785767771,-370.082834544429
"67.5%",0.0774336173371129,0.0775467143737517,0.917435556138779,0.500209307496159,0.485494539126398,-370.00716658732
"70%",0.077601905029436,0.0778203211868352,0.923971965662335,0.502432931865833,0.486874303484237,-369.930033664136
"72.5%",0.0777660462949469,0.0780860237854574,0.929158770839137,0.505352093540063,0.488421640005073,-369.851389435512
"75%",0.0779233727099835,0.0783687087341897,0.934651125491477,0.507922202874098,0.489878681011671,-369.776646464676
"77.5%",0.0781079322742128,0.0786899654251788,0.941121257656302,0.510499694457806,0.491492883495301,-369.694859902874
"80%",0.0782890322864124,0.0790188727155815,0.947953976005416,0.51335703388986,0.49344014762441,-369.619649933997
"82.5%",0.0785268327495523,0.0793808021463066,0.953974066944367,0.516578017424714,0.495253787456707,-369.538371161724
"85%",0.0788072787514056,0.0797627755728575,0.960020043898714,0.520190261757303,0.497120895863848,-369.459812308602
"87.5%",0.0790910052756727,0.0802194735186705,0.965755092483226,0.524334626583471,0.499424168749721,-369.37979186596
"90%",0.0794116451981042,0.0806831606861008,0.973394566192068,0.528356700848404,0.50188488826094,-369.288545012215
"92.5%",0.0797716386232753,0.0813217177546281,0.980160140913694,0.532953818221907,0.505118263741961,-369.177298411867
"95%",0.080277325864038,0.082148872643777,0.987091405366016,0.538765233279956,0.509401092579542,-369.0666247538
"97.5%",0.0809543936901881,0.0832661885379043,0.992694790938011,0.548611924928208,0.515726584713069,-368.92115212704
"100%",0.0869018074644839,0.0910829638397909,0.999912289887515,0.601986916940719,0.555143992652477,-368.578998027449
