# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_dsLibs/input/VLD001.A0101.SG1.1_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	76	29
+	45	63
+	52	38
+	38	45
+	42	54
+	48	54
+	43	53
+	92	8
+	55	37
+	49	58
+	87	10
+	71	27
+	50	50
+	111	1
+	81	9
+	56	34
+	86	8
+	37	55
+	108	5
+	57	28
+	58	34
+	70	18
+	80	8
+	69	30
+	39	43
+	72	15
+	65	25
+	47	38
+	63	26
+	40	48
+	68	21
+	82	15
+	75	22
+	53	45
+	46	56
+	113	3
+	115	1
+	51	41
+	34	49
+	41	44
+	64	24
+	59	33
+	32	51
+	36	52
+	91	11
+	90	4
+	61	34
+	78	15
+	31	46
+	74	16
+	97	4
+	85	7
+	67	23
+	44	62
+	107	1
+	96	4
+	73	12
+	93	13
+	100	6
+	54	34
+	30	27
+	60	18
+	94	3
+	98	7
+	101	3
+	83	7
+	33	40
+	35	38
+	77	11
+	66	26
+	84	10
+	62	28
+	118	3
+	109	3
+	79	8
+	88	6
+	130	1
+	95	6
+	99	4
+	110	3
+	103	2
+	112	2
+	135	1
+	89	7
+	105	3
+	114	2
+	116	1
+	125	1
+	137	1
+	104	1
+	121	1
+	29	1
+	126	2
+	102	3
+	124	1
+	123	2
+	127	1
-	72	20
-	35	43
-	53	40
-	54	36
-	64	33
-	44	63
-	88	3
-	76	18
-	91	4
-	46	43
-	79	11
-	70	26
-	81	16
-	33	55
-	104	2
-	68	30
-	42	63
-	73	28
-	58	28
-	47	47
-	52	45
-	59	29
-	41	48
-	66	28
-	39	52
-	38	43
-	43	50
-	106	4
-	71	22
-	30	36
-	80	7
-	62	22
-	65	31
-	51	41
-	96	6
-	75	14
-	87	6
-	113	2
-	49	61
-	34	48
-	31	40
-	55	38
-	120	3
-	103	2
-	37	48
-	105	2
-	109	5
-	32	48
-	77	15
-	50	42
-	60	25
-	69	16
-	63	24
-	45	54
-	36	58
-	61	36
-	56	33
-	40	37
-	83	10
-	82	12
-	86	12
-	125	1
-	78	12
-	57	36
-	67	28
-	48	50
-	107	5
-	124	2
-	84	5
-	98	4
-	74	15
-	93	5
-	117	2
-	85	5
-	115	1
-	97	6
-	114	1
-	101	3
-	111	2
-	139	1
-	89	7
-	94	6
-	112	2
-	95	3
-	116	2
-	92	4
-	90	7
-	133	1
-	130	1
-	121	1
-	100	5
-	118	1
-	128	1
-	110	2
-	99	2
-	123	2
-	122	1
