"","Position","C.T","G.A"
"1",1,0.930387760218919,0
"2",2,0.882327743833877,0
"3",3,0.839305018633408,0
"4",4,0.812404485763423,0
"5",5,0.799032974997879,0
"6",6,0.793118104386387,0
"7",7,0.790631081932748,0
"8",8,0.78960476556413,0
"9",9,0.789183096492997,0
"10",10,0.789009538048177,0
"11",11,0.78893778328107,0
"12",12,0.788907952596478,0
"13",-12,0.788907952596478,0
"14",-11,0.78893778328107,0
"15",-10,0.789009538048177,0
"16",-9,0.789183096492997,0
"17",-8,0.78960476556413,0
"18",-7,0.790631081932748,0
"19",-6,0.793118104386387,0
"20",-5,0.799032974997879,0
"21",-4,0.812404485763423,0
"22",-3,0.839305018633408,0
"23",-2,0.882327743833877,0
"24",-1,0.930387760218919,0
