# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_ssLibs/input/VLD001.A0102.SG1.2_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	55	96
+	35	277
+	43	225
+	60	62
+	44	222
+	31	369
+	39	246
+	51	130
+	40	225
+	62	57
+	47	193
+	58	76
+	48	155
+	36	281
+	33	370
+	73	30
+	46	194
+	45	202
+	57	73
+	42	274
+	30	400
+	38	290
+	49	135
+	37	305
+	34	300
+	61	62
+	41	209
+	54	106
+	32	382
+	89	10
+	87	6
+	74	27
+	85	12
+	83	5
+	79	14
+	53	128
+	99	4
+	129	1
+	52	112
+	69	36
+	72	16
+	50	150
+	68	31
+	67	37
+	59	71
+	65	54
+	66	48
+	98	2
+	81	11
+	71	25
+	28	4
+	56	92
+	63	45
+	84	9
+	93	4
+	77	20
+	78	16
+	80	20
+	116	2
+	64	48
+	96	5
+	92	3
+	75	17
+	88	13
+	76	20
+	132	1
+	103	4
+	130	2
+	94	5
+	95	7
+	82	12
+	70	32
+	29	11
+	119	1
+	102	1
+	101	2
+	109	3
+	97	4
+	118	2
+	105	4
+	91	5
+	86	4
+	90	3
+	111	2
+	125	2
+	133	1
+	120	1
+	139	2
+	117	1
+	113	1
+	121	2
+	106	3
+	122	1
+	112	1
+	127	1
+	114	1
+	108	2
-	61	55
-	77	20
-	53	116
-	54	127
-	32	380
-	46	197
-	51	152
-	56	79
-	33	319
-	40	256
-	81	8
-	45	224
-	43	233
-	57	75
-	44	241
-	37	275
-	41	208
-	39	215
-	66	50
-	34	323
-	30	377
-	50	135
-	59	66
-	48	159
-	31	388
-	49	154
-	42	246
-	35	310
-	75	21
-	38	249
-	84	10
-	36	286
-	68	42
-	58	65
-	52	116
-	79	14
-	69	33
-	60	59
-	67	40
-	73	19
-	63	48
-	76	33
-	47	182
-	64	59
-	62	57
-	70	43
-	85	8
-	55	84
-	71	32
-	78	16
-	131	1
-	110	1
-	65	54
-	74	19
-	94	2
-	82	14
-	83	11
-	91	13
-	72	23
-	29	8
-	86	7
-	96	5
-	80	15
-	109	2
-	97	2
-	105	3
-	122	2
-	92	8
-	90	6
-	130	1
-	87	12
-	103	3
-	129	4
-	89	7
-	99	5
-	115	1
-	108	3
-	111	1
-	88	5
-	123	2
-	98	4
-	100	3
-	134	2
-	139	2
-	106	1
-	112	3
-	113	2
-	95	2
-	136	1
-	104	3
-	119	3
-	93	1
-	114	1
-	116	1
-	121	2
-	107	1
-	128	1
