"","Position","C.T","G.A"
"1",1,0.321625550514274,0
"2",2,0.212374707262053,0
"3",3,0.174068129534917,0
"4",4,0.156441825872869,0
"5",5,0.146566755490771,0
"6",6,0.140306221475437,0
"7",7,0.136021224617617,0
"8",8,0.132934484912873,0
"9",9,0.130624767632929,0
"10",10,0.128842859272473,0
"11",11,0.127432546873789,0
"12",12,0.126291723613959,0
"13",-12,0.126291723613959,0
"14",-11,0.127432546873789,0
"15",-10,0.128842859272473,0
"16",-9,0.130624767632929,0
"17",-8,0.132934484912873,0
"18",-7,0.136021224617617,0
"19",-6,0.140306221475437,0
"20",-5,0.146566755490771,0
"21",-4,0.156441825872869,0
"22",-3,0.174068129534917,0
"23",-2,0.212374707262053,0
"24",-1,0.321625550514274,0
