"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.159542122533934,0.00610764674329758,0.284495893555406,0.795210377022845,0.366456357738136,-283.560245202459
"Std.",0.016989838292991,0.00506134722566101,0.278648467107868,0.220243077001835,0.0582383644624525,1.47076751550689
"Acceptance ratio",0.19668,0.2807,0.18172,0.27426,0.20008,0.73114
"0%",0.0924220115774866,1.33837728267486e-07,0.00011796038208467,0.000232495782870101,0.182701586813373,-294.634812166655
"2.5%",0.128087293050177,0.000194537127402118,0.00405340555618212,0.168894225051351,0.265848777381735,-287.243112993413
"5%",0.13314880674442,0.000397283652660185,0.00766431200427117,0.293127023522954,0.278486039006005,-286.370635601037
"7.5%",0.136142847962838,0.000614590903518705,0.0120321970076146,0.386132843992037,0.287851219523339,-285.860165746902
"10%",0.13872175001207,0.00082260451005871,0.0159654344920621,0.451674806725908,0.294972957046343,-285.499890518472
"12.5%",0.140953449757751,0.00103941894407082,0.0206118785859229,0.516202202619504,0.301196362313559,-285.222878789285
"15%",0.142392711282047,0.00127107760209601,0.0243345662518884,0.569778619787406,0.306889902586666,-284.977333521522
"17.5%",0.143932534296908,0.00151956267947251,0.0302700821288199,0.611980458057499,0.312500398958616,-284.776910909833
"20%",0.145322938019438,0.00174689922369317,0.036089200137725,0.65280385155812,0.316892848509641,-284.603164167129
"22.5%",0.14638369885939,0.00196948242097001,0.042582015591107,0.688908951380451,0.321354155968902,-284.449760151415
"25%",0.147774475198545,0.00220397881078075,0.050705115588126,0.714378119198,0.325873110162718,-284.306879504043
"27.5%",0.148849416658278,0.00244042130634428,0.0582758491502389,0.737431206564498,0.329487202831561,-284.172962722411
"30%",0.149879087107778,0.00270403042975655,0.0686681382335634,0.761186560322141,0.333164411095012,-284.045677860497
"32.5%",0.150977518421588,0.00293367404204075,0.0808637058098136,0.781908235149146,0.337047433598239,-283.933668920246
"35%",0.15197894669802,0.00317136742550471,0.0933375294974923,0.799444530484854,0.340625771399109,-283.821128101038
"37.5%",0.1530910502692,0.0034523480046373,0.103712069485175,0.815363670969759,0.344104523768099,-283.716888888476
"40%",0.154260680257661,0.00367417304648647,0.118716865679722,0.831738662874457,0.347792201966892,-283.614314525351
"42.5%",0.15547903923128,0.00394808176522985,0.133571584429072,0.845689427640705,0.351447848225438,-283.518169787102
"45%",0.156624439995714,0.00421736175293051,0.149324667779133,0.858476431088007,0.35520611759607,-283.423158410374
"47.5%",0.157772072406036,0.00454298065189663,0.168322950237167,0.868572584075,0.358459688454177,-283.329629249147
"50%",0.158804427919691,0.00489460044205983,0.183894496502234,0.879219032798927,0.362128059452771,-283.242677945478
"52.5%",0.160112571740291,0.00521494108065702,0.203927267929459,0.888893945937235,0.365704908643921,-283.160294830805
"55%",0.161433727026945,0.00555588727501192,0.22050703871822,0.898159315797782,0.369169518578363,-283.078956001008
"57.5%",0.162460362424772,0.00588015503922207,0.244977650936574,0.906798266186371,0.372677382182977,-283.005993736776
"60%",0.163296679512169,0.00618371355096004,0.267828337983872,0.915367656020117,0.376056214195956,-282.927641760359
"62.5%",0.164453911707085,0.00653850210457282,0.29030495215673,0.92243577807946,0.380183403373064,-282.851847339002
"65%",0.165635959294486,0.00695105773307534,0.316340460011635,0.929411401901994,0.384955846092071,-282.777593694675
"67.5%",0.166836395345047,0.00731419692602899,0.346878124227999,0.935064863196517,0.389017740626307,-282.700596478585
"70%",0.167997888522675,0.00777651840290725,0.379387057352119,0.942143968511895,0.393218914278726,-282.629380777234
"72.5%",0.169154625185408,0.00827656549659979,0.415881517213572,0.94874081388173,0.397722202393858,-282.557646910784
"75%",0.17051667470873,0.00879755204288911,0.45366438354237,0.955145679513411,0.402535278958786,-282.485437348728
"77.5%",0.171932046743723,0.00931987742105593,0.495097388246903,0.960531016554882,0.408346305057934,-282.414085628541
"80%",0.173304555773664,0.00987572707713205,0.540843026445521,0.965951732556686,0.413829036274727,-282.337690640023
"82.5%",0.174811306706922,0.0105012777645192,0.590139952801039,0.970959689304952,0.41926484218307,-282.259969719222
"85%",0.17688138378963,0.0112927866207969,0.642599355075613,0.975252482491073,0.425631060563262,-282.175752749883
"87.5%",0.178916926112578,0.0121396880041648,0.699772261503602,0.980507677250633,0.433305894412675,-282.092545926839
"90%",0.181446894029743,0.0130834109873886,0.757186016545224,0.98481858024093,0.442971381472554,-282.00204382145
"92.5%",0.18446069393372,0.0143759092912641,0.81273820906548,0.988276129851075,0.45486709977387,-281.908317132351
"95%",0.188851176792918,0.016075685520377,0.873187762500629,0.992479178056268,0.470780771080019,-281.800672825256
"97.5%",0.195329501753708,0.0187143048341108,0.930335247795161,0.99576120089008,0.494732300643883,-281.650377493052
"100%",0.239212450954413,0.0405417456500578,0.999848931466377,0.999989165073572,0.687725190522757,-281.326755332869
