# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/out/CDM019.A0101.SG1.1_5M.mapped_n_elongata_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/input/GCF_900453895.1_42925_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	47	5
+	63	4
+	95	1
+	69	7
+	45	9
+	33	14
+	48	10
+	36	13
+	76	6
+	72	2
+	39	11
+	31	11
+	80	1
+	34	11
+	40	8
+	58	7
+	84	3
+	57	4
+	42	12
+	119	1
+	125	1
+	50	5
+	38	14
+	30	16
+	60	6
+	43	8
+	52	7
+	75	5
+	103	1
+	88	2
+	64	5
+	37	15
+	49	8
+	35	9
+	105	1
+	65	3
+	59	5
+	122	2
+	32	3
+	108	2
+	83	5
+	55	3
+	61	5
+	70	4
+	104	2
+	74	4
+	78	2
+	107	1
+	44	3
+	91	2
+	66	2
+	46	6
+	100	1
+	53	4
+	54	4
+	41	3
+	99	1
+	82	1
+	62	2
+	71	1
+	90	3
+	85	2
+	86	1
+	98	1
+	81	1
+	117	1
+	113	1
+	68	5
+	67	2
+	51	3
+	73	3
+	56	2
+	79	1
+	127	1
+	123	1
+	92	1
-	37	12
-	63	5
-	106	3
-	35	16
-	51	7
-	34	12
-	40	5
-	42	15
-	39	14
-	57	7
-	55	3
-	31	19
-	46	7
-	80	2
-	43	11
-	74	3
-	47	7
-	48	6
-	49	7
-	67	1
-	102	3
-	120	1
-	66	7
-	41	6
-	59	2
-	54	4
-	44	9
-	78	4
-	30	13
-	33	14
-	69	8
-	71	4
-	56	3
-	76	6
-	45	5
-	38	8
-	53	7
-	36	8
-	70	3
-	61	4
-	110	1
-	101	1
-	65	3
-	119	1
-	94	1
-	114	1
-	117	1
-	85	1
-	83	3
-	105	2
-	89	2
-	32	7
-	50	5
-	73	2
-	88	1
-	81	1
-	75	2
-	123	1
-	58	2
-	111	1
-	64	3
-	129	1
-	60	2
-	137	1
-	87	1
-	68	4
-	72	1
-	52	2
-	96	1
-	29	1
-	90	1
-	139	1
