# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/mapDamage2_ssLibs/input/CDM019.A0102.SG1.4_5M.mapped_n_elongata_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/input/GCF_900453895.1_42925_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	67	5
+	37	15
+	39	20
+	106	1
+	49	10
+	76	8
+	85	1
+	31	37
+	71	2
+	42	13
+	36	15
+	48	9
+	92	2
+	35	20
+	33	26
+	46	10
+	34	19
+	50	7
+	30	34
+	61	2
+	43	15
+	47	12
+	66	2
+	45	8
+	32	27
+	53	6
+	38	11
+	95	1
+	40	12
+	51	5
+	60	6
+	44	12
+	63	3
+	55	4
+	75	2
+	58	1
+	52	8
+	86	1
+	65	2
+	59	3
+	81	2
+	84	1
+	78	3
+	89	1
+	77	2
+	125	2
+	98	1
+	41	4
+	121	1
+	62	2
+	57	5
+	56	1
+	97	1
+	69	1
+	72	1
+	68	1
+	94	1
-	55	2
-	81	2
-	31	38
-	47	10
-	34	20
-	33	23
-	41	12
-	50	3
-	37	17
-	75	2
-	45	15
-	32	19
-	49	11
-	30	30
-	48	4
-	138	1
-	39	11
-	100	2
-	51	4
-	38	14
-	35	16
-	69	4
-	79	1
-	54	7
-	58	3
-	43	17
-	42	14
-	46	8
-	52	5
-	98	1
-	101	1
-	44	11
-	53	7
-	36	12
-	40	7
-	68	4
-	103	1
-	63	3
-	65	2
-	71	5
-	76	5
-	57	2
-	118	1
-	89	1
-	137	1
-	59	4
-	62	4
-	70	1
-	66	2
-	56	3
-	60	1
-	64	2
-	133	1
-	86	3
-	82	1
-	136	1
-	88	1
-	61	1
-	105	1
-	87	1
-	93	2
-	72	1
-	84	1
-	130	1
-	74	1
-	78	1
