pos	5pC>T
1	0.304802561366062
2	0.18385440970602
3	0.107295061418902
4	0.126353790613718
5	0.0957354221061793
6	0.0926470588235294
7	0.0807001591270743
8	0.0774745605920444
9	0.0695484182564598
10	0.0568676908965834
11	0.0602569782897652
12	0.0589503953989935
13	0.0539785946952071
14	0.0560747663551402
15	0.0495026054002842
16	0.0493221131369799
17	0.0489713774597496
18	0.0468155893536122
19	0.0467957584140157
20	0.0470430107526882
21	0.0561186650185414
22	0.0492078732597216
23	0.0490307867730901
24	0.0557424315233061
25	0.0533923991606435
