"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0922999848931605,0.0382778465411062,0.573572014995275,0.298180104153852,0.169272356293209,-1119.56319174088
"Std.",0.00122798256918772,0.00238930378572351,0.0173692284698776,0.013881354462691,0.00385133676562692,1.59093997225993
"Acceptance ratio",0.2442,0.15394,0.14972,0.15864,0.23974,0.6508
"0%",0.0867451422705632,0.0296762405242496,0.517768691044688,0.252977530295576,0.153247609016271,-1129.82529950346
"2.5%",0.0899361651988858,0.0334078587788308,0.539956448276477,0.271004145465161,0.161797413903056,-1123.46871613333
"5%",0.09029749418489,0.0342307405267629,0.545359077555485,0.275377810546375,0.162989147776276,-1122.61977434532
"7.5%",0.0905188280476457,0.0347457285974452,0.548803345053106,0.27840719024885,0.163803504760865,-1122.10831764863
"10%",0.0907230046877772,0.035150785495158,0.55115796804216,0.280299447758821,0.164464755145744,-1121.71315551904
"12.5%",0.0908940089276687,0.0354739138477004,0.553660822022362,0.281907929013049,0.164916682333948,-1121.41955825059
"15%",0.0910172478977103,0.0357565899066099,0.555800016170945,0.283654039435637,0.165309172278036,-1121.1671046704
"17.5%",0.0911330879521157,0.0360491308939794,0.557353047642976,0.284922510976124,0.165678090007773,-1120.9492761525
"20%",0.0912485352170572,0.0362867636880201,0.55893459092752,0.286160484902958,0.166029926667698,-1120.76066748117
"22.5%",0.0913618310854032,0.0365077398027899,0.560297904693786,0.287397222579737,0.166354380262678,-1120.57908964224
"25%",0.0914526388982394,0.0366756826747898,0.561651382324515,0.288549444613616,0.166647762336548,-1120.42173141191
"27.5%",0.0915624682685725,0.036832162022139,0.562916720649483,0.289848689198803,0.166957355403599,-1120.26235885959
"30%",0.0916580828708652,0.0370104218068779,0.564147384169807,0.290797021038335,0.167227407652583,-1120.12689795092
"32.5%",0.0917424205360626,0.0372139174229361,0.565398202731881,0.291886476419175,0.167508179439197,-1119.99363557075
"35%",0.0918276898679269,0.0373922353971264,0.566498961426569,0.292872810125725,0.167787554119111,-1119.8727725088
"37.5%",0.0918995575905916,0.037569539881538,0.567801067216921,0.293683437275663,0.168011419615665,-1119.75521430851
"40%",0.0919820126903359,0.0377277609183172,0.569058683561919,0.294677581111116,0.168249075428522,-1119.63648918807
"42.5%",0.0920682540543857,0.0379032180747043,0.570089733492683,0.295618599568722,0.168495523218036,-1119.52858446663
"45%",0.0921391769028022,0.038076726707786,0.57113004758424,0.296404088388727,0.168732513870833,-1119.43075370636
"47.5%",0.0922165685625473,0.0382161766454415,0.572364897282326,0.297194172001047,0.168981186758591,-1119.33094264489
"50%",0.0923004972395453,0.038339038065769,0.573595492892152,0.298162123219473,0.169211522657041,-1119.23496465507
"52.5%",0.0923736369590831,0.0384914734841429,0.574699553373532,0.299086931506121,0.169437400258092,-1119.1369150917
"55%",0.0924511379944871,0.0386500725856694,0.575882080293738,0.299811577925157,0.169661174554951,-1119.05388629711
"57.5%",0.0925382629951549,0.0387909663833154,0.576843641313064,0.300726388835392,0.169922913380585,-1118.96870161098
"60%",0.0926129502964799,0.038941134211655,0.577944390476812,0.301712851273659,0.170146325943383,-1118.88328172374
"62.5%",0.0926971779776702,0.0390820306350616,0.578953958895703,0.302751560129403,0.170389487657519,-1118.79875496544
"65%",0.0927759637662649,0.0392455387925379,0.580224417379853,0.303681246413426,0.170649168078918,-1118.71835615753
"67.5%",0.0928531653463864,0.0393773335227895,0.58141148617884,0.30455153504391,0.170916859058046,-1118.63080488743
"70%",0.0929458720611654,0.0395435257487068,0.582501262851845,0.305538526521654,0.171170020722646,-1118.54487645395
"72.5%",0.0930266060750704,0.0396991379119089,0.583931187673862,0.306542305244351,0.171478059012808,-1118.4576725744
"75%",0.0931121829215364,0.0398971034603988,0.585156516166633,0.307667702495605,0.171798365509196,-1118.36452825758
"77.5%",0.093230926914788,0.0400955273244784,0.586678329155836,0.308600598171178,0.172138276482842,-1118.28174281581
"80%",0.0933328296832285,0.040298135541899,0.588329312451319,0.309758949291613,0.172469034587325,-1118.19990552034
"82.5%",0.0934496605046961,0.04053404408351,0.589691862931405,0.31114645760462,0.172860055676077,-1118.10979436321
"85%",0.093577502771827,0.0407701965238704,0.591045805293489,0.312592466814861,0.173290608246636,-1118.02280448303
"87.5%",0.0937185956945274,0.0410377112628693,0.592891711960652,0.314203353262185,0.173727034948271,-1117.93241043486
"90%",0.0938907387449441,0.0413699869788681,0.595551046185354,0.316273972698061,0.174276607966559,-1117.83814310017
"92.5%",0.0940947334565091,0.0417246213109739,0.598527231359283,0.318369916242232,0.17495743622051,-1117.73602247269
"95%",0.0943456083004235,0.0421207031966125,0.602282179708625,0.321227565472287,0.175714956012006,-1117.61543694284
"97.5%",0.0947045999832836,0.0428900337926404,0.608397073933583,0.325430620869272,0.177118957327788,-1117.46050009539
"100%",0.096956200667176,0.0456561437733868,0.635902985342541,0.345983812609114,0.183173362220706,-1117.0409486665
