"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.103874304212606,0.0277349494543486,0.985977447198412,0.415441673932932,0.199848529210733,-979.930024911913
"Std.",0.00172229225424951,0.00168372877723905,0.0124298372975546,0.0079682121627002,0.0054568759072326,1.67413483444021
"Acceptance ratio",0.17174,0.18308,0.27168,0.19876,0.16652,0.66954
"0%",0.0981472389848212,0.0208174236472859,0.906826632978876,0.378947257382187,0.181678800651626,-991.391210732424
"2.5%",0.100584640134985,0.0244612832910488,0.953811804603697,0.399583598277886,0.189469463252143,-984.002818072843
"5%",0.101063996948613,0.0249610063520533,0.960950609229846,0.401852266878101,0.191036664272842,-983.12394932151
"7.5%",0.101418234229776,0.0252991721094376,0.965304094727882,0.403683991585618,0.192046131963566,-982.591547328271
"10%",0.101676892908014,0.0255793644722686,0.968512286579551,0.405167230570171,0.192863360575571,-982.213110853172
"12.5%",0.101923232153184,0.0258233951626757,0.971217896045713,0.406277222209986,0.193556558427925,-981.870307416317
"15%",0.102132415814629,0.0260177396510876,0.973511782736231,0.407348622911079,0.194086243509532,-981.601887865486
"17.5%",0.102294616782738,0.0261853537232355,0.975443448421935,0.408326649905724,0.194691184033358,-981.369177781936
"20%",0.102438644557728,0.0263252228590306,0.977105372855901,0.409031478413089,0.195176759514944,-981.182903846158
"22.5%",0.102565613424447,0.0264652911703766,0.978605480077323,0.409667091405303,0.195674677709436,-980.993882024242
"25%",0.102684991295545,0.0266025869089417,0.97994763795971,0.410326622312752,0.196131813346301,-980.825027968935
"27.5%",0.102806160706927,0.0267296422853176,0.981167798836673,0.41087119438278,0.196553864315663,-980.66944190103
"30%",0.102944302190956,0.0268499757502436,0.982323032798001,0.411479029574825,0.196953314870834,-980.522520431767
"32.5%",0.103070168985246,0.0269672771172921,0.983414103678575,0.412084584497228,0.197364044052582,-980.401876437357
"35%",0.10320218791759,0.027091906319715,0.984511877955287,0.412617736471784,0.197728836634474,-980.272057831235
"37.5%",0.103304206272075,0.0271845265419921,0.985471979480502,0.413107503423467,0.198065584746076,-980.153427216338
"40%",0.103437627895741,0.0272946978295099,0.986390009857192,0.413603236944931,0.198361143044416,-980.043571393371
"42.5%",0.10355244249319,0.0274011342698807,0.987284476150223,0.414073291548997,0.198673164959625,-979.927277176349
"45%",0.103662185810282,0.0275169092397132,0.988037690356679,0.414644651112912,0.199067457382213,-979.819714001386
"47.5%",0.103758991115378,0.0276188607581094,0.988776605564808,0.415078427818698,0.199417339021127,-979.70518388025
"50%",0.103867083310925,0.0277068382220212,0.989415962733261,0.415522181016354,0.199720420744375,-979.6008058771
"52.5%",0.103985649331929,0.027803798124858,0.990070727581948,0.415994263078491,0.200057776325953,-979.500807283406
"55%",0.104086413014294,0.0279108263787725,0.990736033060071,0.416558564522189,0.200474776288443,-979.405884475068
"57.5%",0.104186037067957,0.0280246657680425,0.991343671844736,0.417107658006646,0.200757936835476,-979.308921697722
"60%",0.104310197312185,0.0281311696010533,0.991972265855388,0.417590682450611,0.201082584374084,-979.213407255118
"62.5%",0.104396313113768,0.0282357337302421,0.992600037200797,0.418079489778924,0.201435662094225,-979.115340839326
"65%",0.104496937185127,0.0283600233711267,0.993242393158923,0.418574296735717,0.201808541300826,-979.02332821152
"67.5%",0.104617422872727,0.0284775376743541,0.993886207475912,0.419065891376268,0.202188018009278,-978.935308213988
"70%",0.104746816362095,0.0286001770381697,0.994463799587228,0.419685068534763,0.202575112398597,-978.8528907939
"72.5%",0.104882061767126,0.0287091839208294,0.995019673814534,0.420274218708319,0.203023517381792,-978.761560840885
"75%",0.105021599001679,0.0288375518373208,0.99560405012839,0.420876957660109,0.203473242195677,-978.67147669705
"77.5%",0.10514970202448,0.0289794518153293,0.995981899620777,0.42147479757248,0.203978380448606,-978.591550835997
"80%",0.105286728152981,0.0291326154789675,0.996458016636016,0.422138131138142,0.204414437602318,-978.498437916489
"82.5%",0.10547737241154,0.0293196011422747,0.996944902788921,0.422883919106572,0.204998151604499,-978.409759399185
"85%",0.105667425815278,0.0294993811522758,0.997457817977401,0.423597263912599,0.205510690517844,-978.318304107976
"87.5%",0.105865677750216,0.0297261091435909,0.997866786354112,0.424453520347606,0.20613661874445,-978.217640007938
"90%",0.106106976845627,0.0299236769183447,0.998224229378325,0.425430760407883,0.206963506755107,-978.113695498826
"92.5%",0.106370242752829,0.0301919834770156,0.998597944846553,0.426714614006131,0.207812213343834,-977.993561184028
"95%",0.106715590985743,0.0305403725278518,0.999098259791437,0.428136244684397,0.208985486645881,-977.866759007046
"97.5%",0.10730153745238,0.031122081435336,0.999541871598689,0.430379498678405,0.210837330219525,-977.674962030347
"100%",0.111495296071113,0.0350272220316174,0.999999306090217,0.443751490003092,0.223710529492599,-977.126206184227
