pos	3pG>A
1	0.218241042345277
2	0.121546961325967
3	0.0954063604240283
4	0.0538720538720539
5	0.0666666666666667
6	0.0448028673835125
7	0.051056338028169
8	0.0477031802120141
9	0.0398724082934609
10	0.0268006700167504
11	0.0308219178082192
12	0.0257234726688103
13	0.0371621621621622
14	0.0311986863711002
15	0.0285234899328859
16	0.023696682464455
17	0.0264900662251656
18	0.0236486486486486
19	0.0216666666666667
20	0.0158982511923688
21	0.0240137221269297
22	0.0173775671406003
23	0.026890756302521
24	0.0213523131672598
25	0.0277777777777778
