"","Position","C.T","G.A"
"1",1,0.830918499607316,0.320341571756807
"2",2,0.677833732138336,0.288768677657156
"3",3,0.475747407631823,0.212753850095014
"4",4,0.287115015328834,0.135436166924702
"5",5,0.15799116441735,0.0770752011270832
"6",6,0.0839871920255997,0.0426523023017223
"7",7,0.0440760076960599,0.0261402781655378
"8",8,0.0242646798877769,0.0179975161079553
"9",9,0.0162968531687392,0.0124482318289586
"10",10,0.0127607271119674,0.00953985905947984
"11",11,0.0103998413865072,0.00885167788703703
"12",12,0.00866793463798506,0.00914056020193003
"13",-12,0.00820938707669853,0.00960054326343366
"14",-11,0.00826638304674342,0.0109947241109117
"15",-10,0.00934278657679747,0.0129778298818897
"16",-9,0.0118384274353923,0.0169281220355685
"17",-8,0.0164089784130109,0.0258736723006961
"18",-7,0.024505604962053,0.0457629338888965
"19",-6,0.0389969638069981,0.0875637939290284
"20",-5,0.0649967785594932,0.168248148263669
"21",-4,0.109424916961706,0.304605814466052
"22",-3,0.17230500234972,0.49330883264406
"23",-2,0.264707894620226,0.683653204809656
"24",-1,0.373405342825311,0.828120587966068
