pos	5pC>T
1	0.178202068416866
2	0.0804597701149425
3	0.0562613430127042
4	0.0466497031382528
5	0.0411585365853659
6	0.041522491349481
7	0.0327181208053691
8	0.0364963503649635
9	0.0356521739130435
10	0.0286436394271272
11	0.032258064516129
12	0.0323144104803493
13	0.0267471958584987
14	0.0333068992862807
15	0.0354785478547855
16	0.0299914310197087
17	0.0346729708431836
18	0.0408510638297872
19	0.031634446397188
20	0.0451189499589828
21	0.0376068376068376
22	0.03125
23	0.0447518307567128
24	0.029940119760479
25	0.0442324371205551
