# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/out/GDN001.A0101.SG1.1_5M.mapped_n_elongata_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/input/GCF_900453895.1_42925_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	68	3
+	40	3
+	45	2
+	55	1
+	31	5
+	34	3
+	51	1
+	70	1
+	48	2
+	58	1
+	69	1
+	30	5
+	102	1
+	119	1
+	36	2
+	50	1
+	127	1
+	33	2
+	57	1
+	76	1
+	42	1
+	75	1
+	54	1
-	30	5
-	33	5
-	103	1
-	62	1
-	52	1
-	46	4
-	38	1
-	34	4
-	43	2
-	69	1
-	47	1
-	54	1
-	40	2
-	45	1
-	74	1
-	53	1
-	44	1
-	37	1
-	78	1
-	36	1
-	49	1
-	32	1
-	28	1
-	41	1
-	60	1
-	68	1
