"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.172905256576739,0.00340325884822936,0.755261392824744,0.634294087664419,0.389163698965801,-416.426139867014
"Std.",0.0131822650254061,0.00309967930897215,0.164355078961277,0.0747729424663904,0.0435929724512699,1.63989085379383
"Acceptance ratio",0.28558,0.16538,0.2396,0.2568,0.28428,0.75968
"0%",0.12260079452887,1.0593305668858e-07,0.170239207025813,0.244562458802287,0.263796338117922,-428.775325223669
"2.5%",0.147946256281023,0.000105801018462124,0.397439899156793,0.472593705566088,0.312807070771899,-420.479145172739
"5%",0.151964393314434,0.000207676407648693,0.449121512394682,0.504490151510543,0.322844966199165,-419.557990605051
"7.5%",0.154438233787532,0.000302289890651242,0.48707848326699,0.523141376202129,0.329470223279768,-419.016830518693
"10%",0.156426938108505,0.000404897449861393,0.520727026338922,0.536855984724958,0.335749397476259,-418.62180812252
"12.5%",0.15812311004322,0.000486813460561323,0.544704741067081,0.547495873104714,0.340418895895054,-418.296283780828
"15%",0.159413080102518,0.000594315329994209,0.567902874662127,0.557044091988046,0.344282703123629,-418.021247830182
"17.5%",0.160620613039925,0.000717169927399572,0.590315893627358,0.565131606558137,0.348445077354626,-417.792028666832
"20%",0.161629165534861,0.000831425005191889,0.608784908781419,0.573266136798188,0.351784531074149,-417.595090031485
"22.5%",0.162697957219888,0.000948399855643091,0.627799383361496,0.579968417664496,0.355016847672592,-417.424626391929
"25%",0.163658631644901,0.00105412294004399,0.642654112891368,0.586766038946277,0.358093530593455,-417.262487111137
"27.5%",0.164720450636957,0.00116543557086031,0.659385586990986,0.593423926039433,0.36100301509393,-417.122934448735
"30%",0.165582437790732,0.00128155030662341,0.67488844629479,0.599087509818206,0.363764275736629,-416.98571968051
"32.5%",0.16642754913236,0.00140350927462956,0.689525991003989,0.604520150972705,0.366760829161664,-416.862426061028
"35%",0.167448880974227,0.00155450638507736,0.702280902080955,0.610527143277652,0.36993210566447,-416.740332413635
"37.5%",0.168288358688975,0.00170372698564396,0.715179870928248,0.615772607765286,0.372858785652412,-416.628134347569
"40%",0.169131846748206,0.00183981826992373,0.72953517694806,0.620715891301097,0.375926086988239,-416.512840833517
"42.5%",0.17001211115231,0.00201380606056803,0.742290916654219,0.625235823120344,0.378319234510902,-416.408519057371
"45%",0.170921023312099,0.00216889357966311,0.754712120338466,0.629640402169354,0.381179856093471,-416.306715025996
"47.5%",0.171828933544393,0.00235250717028602,0.765763064836184,0.634951514927949,0.383499645528048,-416.204597657101
"50%",0.172651055841763,0.0025066142019478,0.777454843777677,0.639812718589839,0.386567287331772,-416.111315913494
"52.5%",0.173516026610831,0.00268687266956369,0.789271591718505,0.644160060072667,0.389347582830941,-416.017174174896
"55%",0.174360895821634,0.00286232712775947,0.801096379914454,0.648953012940372,0.392326448647264,-415.927178539262
"57.5%",0.17514129324708,0.00306748724133386,0.813968221097401,0.653188633054199,0.394945301803456,-415.835103086444
"60%",0.175913164821425,0.00330128389410978,0.826103473030482,0.657731571361842,0.398109170123204,-415.745435982131
"62.5%",0.176852636820496,0.00354836863197913,0.83593094303969,0.662283972533706,0.400915750444182,-415.658656457604
"65%",0.177739413055458,0.00378517629613416,0.846109968177987,0.666652922193251,0.403873719840018,-415.57236679551
"67.5%",0.17863733837242,0.00400915978872805,0.857505676049934,0.6715301966941,0.407225394323416,-415.491005611931
"70%",0.179625464757041,0.00429067693001541,0.867257784102719,0.676391219701022,0.410221584535446,-415.407230720435
"72.5%",0.180669301605608,0.00461237772737898,0.878892752632788,0.681692307327939,0.413688361028906,-415.317294644844
"75%",0.181617073285241,0.00488478713045963,0.890697648219122,0.686812923031265,0.417000721543965,-415.229642222124
"77.5%",0.182770385718625,0.00518515376815623,0.90165616012496,0.691462584806337,0.420662025944341,-415.141356558562
"80%",0.183900403941032,0.00554092193408429,0.912010037697158,0.697781981484238,0.424436845081151,-415.05359293689
"82.5%",0.185231410774105,0.005955119586057,0.922419087886877,0.703827292569212,0.429283755697925,-414.961320552491
"85%",0.186523706812917,0.00647905817324378,0.933710045467,0.710465807265244,0.434166570340926,-414.861326628668
"87.5%",0.188083748500795,0.00701076318396261,0.944682993816824,0.71718238454503,0.440300921223818,-414.762625114489
"90%",0.190098934810353,0.00769074931853043,0.956250648633945,0.724879180694863,0.446643327001422,-414.648514858148
"92.5%",0.192329244516794,0.00857443870548532,0.967997226968552,0.733776597086968,0.454189596291178,-414.525630540336
"95%",0.19515339544258,0.00957980133878507,0.97859901229296,0.747867414090954,0.465224413736763,-414.383115324631
"97.5%",0.199608308580154,0.0113710278336166,0.989359474415487,0.768217461581327,0.482316353567115,-414.209306973931
"100%",0.231033056972888,0.0257604404561741,0.999992758312813,0.88286691948189,0.629456190195235,-413.6693923834
