"","Position","C.T","G.A"
"1",1,0.88081886675719,0.468370079222743
"2",2,0.841222134730012,0.465255860797062
"3",3,0.793588869549116,0.439275788314236
"4",4,0.73898934223101,0.401002427670785
"5",5,0.679440367333582,0.357311963105877
"6",6,0.616529707879052,0.316852028789477
"7",7,0.552320105856147,0.28359337921304
"8",8,0.489725069514457,0.257258699484208
"9",9,0.432014499845487,0.235845562283593
"10",10,0.381166252777146,0.218661407998725
"11",11,0.338139099614795,0.20499772582982
"12",12,0.302815212905409,0.19441231977574
"13",-12,0.20318327951844,0.296708018058467
"14",-11,0.210286627586637,0.335149321986754
"15",-10,0.220766467199493,0.38068455240325
"16",-9,0.233953864392931,0.434016528774548
"17",-8,0.250485341479617,0.49392704553792
"18",-7,0.273955424311186,0.55710865648076
"19",-6,0.303930091887567,0.621589492277889
"20",-5,0.336739049734642,0.685376360455403
"21",-4,0.37005938861196,0.745419131584358
"22",-3,0.402243585825829,0.799038529870181
"23",-2,0.43026392128392,0.844790903772416
"24",-1,0.450620262802016,0.88227986455913
