# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/out/GOY005.A0101.SG1.2_5M.mapped_n_elongata_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/input/GCF_900453895.1_42925_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	43	551
+	44	525
+	50	361
+	37	712
+	31	960
+	39	609
+	55	216
+	40	551
+	51	299
+	36	760
+	67	91
+	33	951
+	38	662
+	35	823
+	71	67
+	63	130
+	32	941
+	52	256
+	30	941
+	42	623
+	45	467
+	49	354
+	47	446
+	41	511
+	46	443
+	59	164
+	34	923
+	73	62
+	56	197
+	48	356
+	83	31
+	61	137
+	69	70
+	82	30
+	96	9
+	74	58
+	84	25
+	62	124
+	68	100
+	58	150
+	60	149
+	80	42
+	54	238
+	53	227
+	79	45
+	86	22
+	66	114
+	64	109
+	65	118
+	75	60
+	57	181
+	77	36
+	78	29
+	81	32
+	97	11
+	76	98
+	88	14
+	89	18
+	103	9
+	72	69
+	91	22
+	70	77
+	101	12
+	119	6
+	85	31
+	92	17
+	94	19
+	104	10
+	108	5
+	95	19
+	112	4
+	93	12
+	109	7
+	113	4
+	107	8
+	90	25
+	99	13
+	114	8
+	129	2
+	137	3
+	102	5
+	106	13
+	132	2
+	28	1
+	111	7
+	115	6
+	110	5
+	87	19
+	120	4
+	136	1
+	140	3
+	98	11
+	29	6
+	100	7
+	141	1
+	123	3
+	122	4
+	105	6
+	117	2
+	118	4
+	124	4
+	131	2
+	133	1
+	121	4
+	134	1
+	127	1
+	135	1
+	130	1
+	139	1
+	128	2
+	138	1
+	126	1
-	33	937
-	45	471
-	48	372
-	51	297
-	50	325
-	30	933
-	66	102
-	31	965
-	38	651
-	35	821
-	36	781
-	57	169
-	32	934
-	37	709
-	39	607
-	62	120
-	58	161
-	44	487
-	52	286
-	46	471
-	53	228
-	55	205
-	41	511
-	56	216
-	70	89
-	34	885
-	42	627
-	67	96
-	40	583
-	49	346
-	84	40
-	54	246
-	61	140
-	98	9
-	73	60
-	76	102
-	47	413
-	74	53
-	43	596
-	79	47
-	63	124
-	60	148
-	93	22
-	59	155
-	64	128
-	120	3
-	94	12
-	78	36
-	88	22
-	91	15
-	75	63
-	92	20
-	119	5
-	71	71
-	65	107
-	68	95
-	69	80
-	87	25
-	85	33
-	107	9
-	72	69
-	141	2
-	90	24
-	80	42
-	97	12
-	77	41
-	121	1
-	86	18
-	99	18
-	83	26
-	89	22
-	136	1
-	96	13
-	104	11
-	128	5
-	102	11
-	82	32
-	95	15
-	81	32
-	114	3
-	105	4
-	106	7
-	100	12
-	103	16
-	130	3
-	29	9
-	108	5
-	133	4
-	112	6
-	113	6
-	110	9
-	115	2
-	101	8
-	131	3
-	122	2
-	109	5
-	116	4
-	125	1
-	118	4
-	111	7
-	127	2
-	129	4
-	126	1
-	138	3
-	28	1
-	123	2
-	132	2
-	27	1
-	137	1
-	124	1
