pos	3pG>A
1	0.0385964912280702
2	0.0302534750613246
3	0.0241905470785262
4	0.0248257839721254
5	0.0303635637235318
6	0.0254681647940075
7	0.0166527893422148
8	0.0232273838630807
9	0.0264266564534661
10	0.0248550124275062
11	0.0229249011857708
12	0.0228721409823772
13	0.0233494363929147
14	0.0207924676343664
15	0.0226487523992322
16	0.0170873786407767
17	0.0200385356454721
18	0.0206224221972253
19	0.0178006329113924
20	0.0202521971723347
21	0.0177909562638992
22	0.0229304314030315
23	0.0225362872421696
24	0.0212053571428571
25	0.0214592274678112
