"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.112899371008831,0.0239263166662884,0.36966199109612,0.257102602118023,0.216826070131501,-1184.10600394742
"Std.",0.00170622867263823,0.00355000625349031,0.0161874305265531,0.0221123659347372,0.00522317981610711,1.54720054976803
"Acceptance ratio",0.16438,0.18292,0.2749,0.21974,0.15566,0.66956
"0%",0.10629250329305,0.0100492976185354,0.311499517149123,0.18542417140925,0.195144914601763,-1195.30356873808
"2.5%",0.109644757273233,0.0163225989192408,0.339528636788702,0.21312349647471,0.206605780616446,-1187.9232526845
"5%",0.110152205980633,0.0178028307693297,0.343921237081439,0.221224847971872,0.208312161165855,-1187.04350894663
"7.5%",0.110467092008489,0.0187600934648277,0.346919678473018,0.225992440557985,0.209441267361807,-1186.53150076393
"10%",0.110709703663183,0.0193471497592329,0.349472149961659,0.229462249294719,0.210312897396524,-1186.16066111119
"12.5%",0.110937776365453,0.0198683383943718,0.351364521347284,0.232257300321991,0.21095838108025,-1185.85643986564
"15%",0.111134455462322,0.0203237499226113,0.352985514076687,0.23475531644517,0.211532615999971,-1185.61512866241
"17.5%",0.111301626012847,0.0207021969449589,0.354609328555213,0.237073951903325,0.211993261422407,-1185.4088772781
"20%",0.11145673303767,0.02103897489786,0.355923461954003,0.238953152878685,0.212416710466545,-1185.22579574902
"22.5%",0.111595423467503,0.0214053683772047,0.357371731286779,0.240629645445551,0.212759673295758,-1185.05827769933
"25%",0.111736029447374,0.0217095186273866,0.358506182544057,0.242300502562019,0.213174080371618,-1184.89497257385
"27.5%",0.111866618433871,0.0219553673157448,0.359766821701939,0.243761416127404,0.213618670888749,-1184.7484892713
"30%",0.111968821207485,0.0222333968299882,0.361001160387796,0.245476136902857,0.213977586349605,-1184.61156847278
"32.5%",0.112083539832395,0.0224845708585243,0.361923165873273,0.246885228797159,0.214343437386448,-1184.49067025836
"35%",0.112201124980004,0.0227722228725842,0.362984367205074,0.248423436244009,0.214722576404748,-1184.38093906146
"37.5%",0.112313305826686,0.0230287063566689,0.364063965428885,0.249895802137256,0.215083729529788,-1184.27377434315
"40%",0.112429832990511,0.0232886071591776,0.365029671035307,0.251083314793799,0.215398997916428,-1184.17243312258
"42.5%",0.11255244550488,0.0235055321020169,0.366073884028097,0.252576448490403,0.215801367867928,-1184.07522356892
"45%",0.112662303732795,0.0237215819701435,0.367084723316412,0.253719582963567,0.216101382159891,-1183.98213169176
"47.5%",0.112772609166582,0.0239236901639643,0.368149902484224,0.255264830386889,0.216452286257862,-1183.88445555572
"50%",0.112867841765612,0.0241333059287523,0.369019219934119,0.256673330638564,0.216775709331136,-1183.79672340606
"52.5%",0.112978892632061,0.0243321669260455,0.369927356934365,0.258031774325434,0.21718885831925,-1183.7061197236
"55%",0.113105880299325,0.0244931815594686,0.370982765184698,0.259451186626041,0.217508993954869,-1183.62176642067
"57.5%",0.113225480606588,0.0246746491581106,0.371969683388423,0.260874115915272,0.217802083246913,-1183.54010404791
"60%",0.113341056025833,0.0248826814530711,0.372985336905809,0.2624488760707,0.218089298996056,-1183.45751535941
"62.5%",0.113440237873389,0.0251132988327933,0.374062913875069,0.263677868118239,0.218469103991365,-1183.37318393013
"65%",0.113549444584342,0.0253067734193505,0.375297706187466,0.264933271855771,0.218815512225149,-1183.28950813645
"67.5%",0.113668181984753,0.0255594951378225,0.376627299983698,0.266524355674979,0.219154444823393,-1183.21070161113
"70%",0.113780346596606,0.0258159498478944,0.377822254825418,0.268115900220583,0.219526175822448,-1183.12711395371
"72.5%",0.113891825587877,0.026070557429339,0.379118640380369,0.269913354298363,0.219899469304751,-1183.04638584838
"75%",0.114036710218257,0.0263150884088601,0.380363215223819,0.271432287708023,0.220257953959752,-1182.97031977729
"77.5%",0.11418565510263,0.0266233632102237,0.38174277778216,0.273219249416201,0.220686029209246,-1182.89307416873
"80%",0.11430927377901,0.026911829437027,0.383035987271927,0.275285511849293,0.221136258791731,-1182.80760991139
"82.5%",0.114476308058741,0.0272149107337872,0.384414567362908,0.27771311824469,0.221635317643886,-1182.72225809255
"85%",0.114681618886542,0.0275431147126936,0.386265439173586,0.28004578310052,0.22226975070609,-1182.63504242931
"87.5%",0.114880807870171,0.0279620220163299,0.388231476462311,0.282769866832278,0.222912912794434,-1182.55489207456
"90%",0.115098112813991,0.0284581375550839,0.390716530276707,0.285806489310207,0.223673984630419,-1182.45781969104
"92.5%",0.115391359539655,0.028907504558046,0.39358720032893,0.289248883719756,0.22448993864924,-1182.351577259
"95%",0.115767868580008,0.0294881180990929,0.397018985658848,0.293785733597042,0.225539496855097,-1182.22328838828
"97.5%",0.116316691082356,0.030336458514223,0.402993238402434,0.301496014817322,0.227073881221816,-1182.06814650597
"100%",0.119825088268057,0.0362125694954738,0.43404075198251,0.345243185125651,0.23711983815023,-1181.66746831664
