pos	5pC>T
1	0.392120075046904
2	0.17220172201722
3	0.096969696969697
4	0.0793650793650794
5	0.0607734806629834
6	0.0526932084309134
7	0.0463276836158192
8	0.0392584514721919
9	0.0434285714285714
10	0.0288568257491676
11	0.04638619201726
12	0.0350492880613363
13	0.0393700787401575
14	0.0367483296213808
15	0.0463800904977376
16	0.0337909186906019
17	0.0266963292547275
18	0.0384615384615385
19	0.0376782077393075
20	0.022517911975435
21	0.0364050056882821
22	0.0311526479750779
23	0.0274261603375527
24	0.0351648351648352
25	0.0368715083798883
