# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/out/PES001.B0101.SG1.3_5M.mapped_n_elongata_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/input/GCF_900453895.1_42925_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	53	21
+	33	49
+	67	20
+	82	3
+	65	17
+	34	58
+	69	6
+	36	53
+	44	34
+	32	46
+	76	43
+	51	32
+	35	45
+	63	10
+	57	26
+	55	27
+	49	33
+	40	37
+	59	19
+	38	43
+	64	15
+	61	19
+	77	14
+	30	48
+	42	59
+	106	3
+	45	48
+	128	2
+	47	31
+	75	13
+	39	33
+	78	7
+	31	43
+	54	27
+	43	49
+	46	32
+	114	3
+	56	24
+	50	18
+	37	38
+	58	20
+	48	46
+	62	9
+	60	23
+	66	15
+	88	6
+	99	2
+	74	17
+	41	39
+	93	4
+	86	7
+	96	6
+	110	1
+	68	10
+	91	3
+	85	7
+	107	6
+	87	4
+	105	2
+	52	21
+	81	8
+	113	5
+	136	1
+	80	7
+	72	12
+	100	3
+	73	7
+	70	8
+	84	10
+	135	1
+	95	2
+	111	2
+	89	7
+	92	6
+	90	5
+	131	1
+	97	4
+	122	2
+	103	3
+	71	11
+	102	2
+	83	6
+	118	3
+	104	2
+	115	2
+	133	1
+	101	1
+	79	5
+	109	1
+	108	2
+	94	4
+	119	1
+	124	2
+	140	1
+	125	1
+	129	1
+	112	1
+	132	2
+	127	1
+	121	1
+	126	1
-	31	38
-	107	1
-	60	24
-	53	28
-	39	51
-	122	2
-	74	11
-	41	38
-	78	9
-	50	34
-	70	9
-	76	38
-	64	13
-	71	17
-	137	1
-	104	4
-	45	40
-	63	16
-	42	58
-	44	45
-	61	20
-	46	34
-	37	43
-	58	23
-	36	39
-	32	44
-	66	14
-	34	55
-	43	62
-	51	34
-	86	5
-	92	5
-	62	19
-	35	49
-	124	2
-	75	11
-	81	6
-	55	23
-	59	23
-	52	35
-	54	25
-	38	39
-	77	11
-	72	19
-	57	21
-	103	2
-	30	52
-	56	16
-	48	31
-	73	16
-	33	40
-	105	1
-	93	3
-	49	32
-	90	4
-	88	10
-	106	3
-	94	4
-	83	8
-	67	18
-	111	2
-	47	33
-	96	3
-	97	5
-	113	1
-	82	6
-	40	39
-	69	15
-	99	1
-	85	9
-	89	5
-	80	7
-	65	13
-	79	6
-	101	2
-	84	4
-	87	4
-	98	4
-	68	6
-	91	3
-	123	1
-	102	3
-	109	4
-	118	2
-	100	4
-	128	1
-	136	1
-	115	2
-	120	1
-	119	1
-	126	1
-	95	1
-	140	1
-	108	1
-	116	3
-	112	1
-	138	1
-	125	1
