"","Position","C.T","G.A"
"1",1,0.900377617067653,0
"2",2,0.839926543444832,0
"3",3,0.757477214461083,0
"4",4,0.659128363454873,0
"5",5,0.558903244691909,0
"6",6,0.47182348367882,0
"7",7,0.406007223952907,0
"8",8,0.36130041740015,0
"9",9,0.333089664434028,0
"10",10,0.316107389166714,0
"11",11,0.306172627710393,0
"12",12,0.300457346649302,0
"13",-12,0.300457346649302,0
"14",-11,0.306172627710393,0
"15",-10,0.316107389166714,0
"16",-9,0.333089664434028,0
"17",-8,0.36130041740015,0
"18",-7,0.406007223952907,0
"19",-6,0.47182348367882,0
"20",-5,0.558903244691909,0
"21",-4,0.659128363454873,0
"22",-3,0.757477214461083,0
"23",-2,0.839926543444832,0
"24",-1,0.900377617067653,0
