# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/mapDamage2_ssLibs/input/PES001.B0102.SG1.5_5M.mapped_n_elongata_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/input/GCF_900453895.1_42925_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	36	106
+	31	178
+	34	128
+	37	88
+	84	2
+	35	106
+	30	183
+	40	75
+	69	10
+	42	71
+	55	22
+	32	161
+	46	48
+	33	142
+	57	18
+	47	44
+	75	3
+	45	67
+	43	66
+	77	9
+	39	71
+	49	40
+	58	12
+	60	16
+	54	30
+	63	6
+	59	18
+	44	71
+	76	8
+	41	52
+	65	13
+	64	15
+	48	53
+	74	13
+	52	25
+	51	28
+	38	77
+	86	2
+	89	3
+	72	7
+	94	1
+	105	1
+	62	13
+	61	16
+	50	31
+	81	5
+	90	4
+	88	3
+	73	8
+	78	4
+	70	16
+	56	24
+	68	10
+	71	9
+	66	10
+	53	22
+	124	1
+	80	2
+	67	6
+	83	5
+	91	4
+	111	1
+	93	3
+	95	3
+	108	1
+	100	1
+	29	2
+	115	1
+	82	2
+	101	1
+	98	2
+	85	3
+	28	1
+	96	1
+	79	2
+	97	2
+	119	1
+	137	1
+	135	2
+	110	1
+	99	1
+	112	1
+	87	1
+	107	1
-	29	3
-	33	146
-	75	7
-	49	34
-	39	63
-	71	7
-	51	35
-	38	84
-	47	59
-	48	42
-	40	62
-	30	158
-	36	89
-	42	80
-	41	63
-	37	93
-	32	166
-	68	10
-	34	111
-	35	103
-	31	174
-	58	20
-	44	68
-	43	81
-	54	22
-	50	37
-	60	21
-	56	18
-	57	19
-	78	4
-	80	2
-	109	1
-	45	48
-	79	4
-	53	26
-	69	10
-	63	10
-	52	28
-	55	17
-	46	49
-	85	4
-	66	9
-	65	14
-	62	11
-	59	15
-	83	3
-	70	8
-	67	7
-	103	1
-	82	5
-	61	16
-	72	7
-	73	7
-	116	2
-	64	9
-	89	7
-	102	2
-	90	1
-	74	3
-	84	2
-	125	1
-	96	4
-	121	1
-	76	15
-	118	1
-	106	2
-	81	3
-	123	1
-	87	4
-	95	1
-	115	1
-	129	1
-	120	1
-	117	2
-	91	1
-	77	3
-	110	1
-	104	1
-	98	1
-	92	1
