# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/out/VLD001.A0101.SG1.1_5M.mapped_n_elongata_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/neisseria_elongata/input/GCF_900453895.1_42925_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	51	1
+	31	22
+	44	5
+	34	16
+	32	32
+	33	15
+	36	8
+	43	3
+	37	7
+	30	29
+	48	2
+	38	10
+	76	2
+	46	3
+	49	2
+	55	2
+	57	3
+	45	6
+	42	8
+	39	4
+	63	2
+	40	8
+	64	1
+	71	1
+	117	1
+	47	1
+	79	1
+	35	4
+	50	1
+	54	1
+	41	1
+	62	1
+	56	1
+	29	1
+	59	1
+	61	1
+	90	1
-	39	6
-	30	35
-	43	4
-	31	21
-	42	7
-	34	14
-	49	1
-	36	6
-	35	9
-	75	2
-	76	3
-	41	6
-	47	2
-	32	21
-	48	3
-	45	6
-	33	14
-	44	5
-	53	1
-	38	6
-	81	1
-	56	1
-	51	2
-	40	5
-	37	6
-	65	1
-	46	1
-	28	1
-	62	1
-	52	3
-	71	1
-	50	2
-	58	1
-	66	1
