pos	3pG>A
1	0.00934579439252336
2	0.0546875
3	0.013986013986014
4	0.0078125
5	0.0072992700729927
6	0.0367647058823529
7	0.024390243902439
8	0.0534351145038168
9	0.0272108843537415
10	0.0227272727272727
11	0.04
12	0.0149253731343284
13	0.0289855072463768
14	0.0608695652173913
15	0.01875
16	0.0344827586206897
17	0.0227272727272727
18	0.0352112676056338
19	0.0075187969924812
20	0.0275862068965517
21	0.0359712230215827
22	0.0427350427350427
23	0.0222222222222222
24	0.037593984962406
25	0.0175438596491228
