pos	5pC>T
1	0.0476190476190476
2	0.0335570469798658
3	0.04
4	0.00793650793650794
5	0.0326797385620915
6	0.0547945205479452
7	0.0633802816901408
8	0.053030303030303
9	0.0620689655172414
10	0.0227272727272727
11	0.0202702702702703
12	0.00793650793650794
13	0.0206896551724138
14	0.0340136054421769
15	0.0571428571428571
16	0.053030303030303
17	0.0555555555555556
18	0.0522388059701493
19	0.0230769230769231
20	0.036144578313253
21	0.053030303030303
22	0.0272108843537415
23	0.0408163265306122
24	0.0434782608695652
25	0.0211267605633803
