pos	3pG>A
1	0.414914552045572
2	0.239942528735632
3	0.143042605924702
4	0.100688073394495
5	0.068808359270787
6	0.0537443893219939
7	0.0510727611940298
8	0.0427340989399293
9	0.0285846545538711
10	0.034022832598621
11	0.033551912568306
12	0.0304759730624358
13	0.0293785310734463
14	0.0331018016062514
15	0.0307656985420732
16	0.031617395274512
17	0.0316304347826087
18	0.0253594475263217
19	0.0281464530892449
20	0.0277005228612749
21	0.0274867635462431
22	0.0238614202133762
23	0.0263593250248153
24	0.0200676437429538
25	0.0228603603603604
