"","Position","C.T","G.A"
"1",1,0.398417706887508,0
"2",2,0.289627009791174,0
"3",3,0.244662563098898,0
"4",4,0.222205345358574,0
"5",5,0.209287164208149,0
"6",6,0.201155853303948,0
"7",7,0.195697590995241,0
"8",8,0.191841736560471,0
"9",9,0.189000131764479,0
"10",10,0.186830585811177,0
"11",11,0.18512471791912,0
"12",12,0.183750456782913,0
"13",-12,0,0.18552539970703
"14",-11,0,0.186905596171599
"15",-10,0,0.188618927775702
"16",-9,0,0.190798113450375
"17",-8,0,0.193652552974015
"18",-7,0,0.197526067483362
"19",-6,0,0.203009478308966
"20",-5,0,0.211177926748716
"21",-4,0,0.224153373251155
"22",-3,0,0.246705249710357
"23",-2,0,0.291844764118064
"24",-1,0,0.400941121774136
