"","Position","C.T","G.A"
"1",1,0.972271607842635,0.792548743204892
"2",2,0.959350018136142,0.824386656931547
"3",3,0.943413477276331,0.82390385508937
"4",4,0.926056186002562,0.810420997414195
"5",5,0.908259145615124,0.796197265629165
"6",6,0.89113922232782,0.785027254877725
"7",7,0.87382460947984,0.783052101329522
"8",8,0.85752968440116,0.785125614186157
"9",9,0.846037363369551,0.783211127263919
"10",10,0.841166458669933,0.775069868357908
"11",11,0.835831668298454,0.773017377663719
"12",12,0.827377256385503,0.779501338320694
"13",-12,0.76304576262006,0.834382269791081
"14",-11,0.762477890469678,0.838791910674301
"15",-10,0.765548004656794,0.843411874770572
"16",-9,0.772607150789093,0.848872775361303
"17",-8,0.781287013226912,0.856977604217241
"18",-7,0.789903874992862,0.869014455983707
"19",-6,0.793739659131103,0.886321473408311
"20",-5,0.800765590454272,0.905000151317759
"21",-4,0.814083761184001,0.923417349404637
"22",-3,0.827629276103777,0.941251204076074
"23",-2,0.830303968120311,0.957573323629234
"24",-1,0.818838518384007,0.970594099436567
